# 라벨 사전(labels_*.tsv)과 원문이 같은 실행파일 문자열 (elf_jobs.py make 가 생성)
0x352A90	수치입력
0x352B40	도시정보
0x352B60	부대정보
0x352B80	세력정보
0x352BA0	군단정보
0x352C50	외교
0x352C60	지역정보
0x352CE0	중지도
0x352D38	아이템정보
0x352D48	무장정보
0x352D58	시설정보
0x352D78	부대
0x352D90	군단
0x352DB0	상태
0x352DB8	요청기간
0x352DD0	후한
0x352E18	육성P
0x352E20	획득육성P
0x352E48	호부
0x352E50	열전
0x352E60	경험
0x352E70	도착
0x352E78	금지출
0x352E80	금수입
0x352E88	예상금
0x352E90	병량지출
0x352EA0	병량수입
0x352EB0	예상병량
0x353130	처단
0x3531C0	지역
0x3531D8	부대
0x353208	표적시설
0x353218	증가병역
0x353228	도착예정
0x353238	최고지력
0x353248	조건
0x353270	배치
0x353278	특징
0x353280	진형
0x353300	배
0x353308	포진
0x353310	병역인구
0x353358	승격
0x353360	강등
0x353368	지휘
0x3533A8	아이템
0x3533B8	종류
0x3533C0	능력
0x3533C8	병법
0x3533D0	효과
0x3533D8	위임내용
0x3533F0	위임방침
0x353418	위임
0x353420	내정중시
0x353430	세력타도
0x353440	시설공략
0x3534B8	대장통솔
0x3534E0	상태
0x3534E8	공작물
0x3534F0	육상
0x3534F8	수상
0x353500	설명
0x353508	적접근시
0x353518	자주퇴각
0x353528	추격
0x353550	퇴각
0x353560	출진시기
0x3535D0	대상
0x3537C8	험악
0x3537D0	불화
0x3537D8	중립
0x3537E0	호의
0x3537E8	신뢰
0x353800	내정중시
0x353810	세력타도
0x353820	시설공략
0x353830	군주
0x353838	도독
0x353848	일반
0x353850	포로
0x353858	재야
0x353870	사망
0x3538E8	전열
0x3538F0	중열
0x3538F8	후열
0x353908	항
0x353910	관
0x353918	진
0x353920	요새
0x353928	망루
0x353930	성채
0x353938	목책
0x353940	토사
0x353948	토루
0x353950	석병
0x353980	궁기
0x353988	노병
0x353990	수군
0x353998	공성
0x3539A0	지식
0x3539A8	모략
0x3539B0	책략
0x3539C0	부대
0x353C68	호부
0x353CA0	교전
0x353CB0	허보
0x353CB8	무진
0x353CC0	혼란
0x353CC8	궤주
0x353CD0	고양
0x353CD8	순찰
0x353CE0	상업
0x353CE8	개간
0x353CF0	보수
0x353CF8	징병
0x353D00	훈련
0x353D08	구입
0x353D10	매각
0x353D20	출진
0x353D28	건설
0x353D30	수송
0x353D38	위임
0x353D48	작위
0x353D50	포상
0x353D58	수여
0x353D60	몰수
0x353D68	처단
0x353D70	추방
0x353D78	방침결정
0x353D88	육성
0x353D90	소환
0x353D98	이동
0x353DA0	탐색
0x353DA8	등용
0x353DB0	허보
0x353DB8	교란
0x353DC0	격려
0x353DC8	구원
0x353DD0	이간
0x353DD8	화공
0x353DE0	탈취
0x353DE8	유언
0x353DF0	증정
0x353DF8	요청
0x353E00	반환
0x353E08	권고
0x353E28	진
0x353E30	요새
0x353E38	망루
0x353E40	성채
0x353E48	목책
0x353E50	목책
0x353E58	토사
0x353E60	토사
0x353E68	토루
0x353E70	토루
0x353E78	석병
0x353E80	수송
0x353E88	퇴각
0x353E90	포로처우
0x353EB0	포로
0x353EC0	부대
0x353EE8	방침
0x353F58	재야등용
0x353F68	포진
0x353F70	배치
0x353F78	병법
0x353F80	능력
0x353F88	내정선택
0x354018	남북
0x354020	동서
0x354078	숲
0x354080	흙
0x354088	풀
0x354090	습지
0x354098	수역
0x3540A0	교
0x3540A8	암
0x3540B0	여울
0x3540E8	세력타도
0x3540F8	시설공략
0x354110	수송
0x354310	처단
0x354428	처단
0x354440	상인
0x3544C8	처단
0x3548F0	기사
0x3548F8	주사
0x354900	비사
0x354908	제사
0x354910	연사
0x354918	연노
0x354920	몽충
0x354928	누선
0x354930	투함
0x354938	정란
0x354940	충차
0x354948	투석
0x354950	상병
0x354958	조영
0x354960	석병
0x354968	파괴
0x354970	교사
0x354978	혼란
0x354980	덫
0x354988	배반
0x354990	환술
0x354998	매도
0x3549A0	고무
0x3549A8	치료
0x3549B0	요술
0x3549B8	시우
0x3549C0	난사
0x3549C8	강습
0x3549D0	강공
0x3549D8	함정
0x3549E0	불덫
0x3549E8	물덫
0x3549F0	돌덫
0x3549F8	낙석
0x354A00	사대
0x354BA0	생년
0x354BB0	관계
0x354BB8	능력
0x354BC0	병법
0x354C98	동영상 감상
0x354CC0	아이템 컬렉션
0x354CF8	신세력변경
0x354D48	무장작성
0x354D58	이름입력
0x354D70	생년설정
0x354D80	내면설정
0x354D90	관계설정
0x354DA0	능력설정
0x354DB0	병법설정
0x354DC0	아이템 열람
0x354DD0	아이템정보
0x354E18	스토리 선택
0x354E38	신아이템 등록
0x354E48	아이템작성
0x354E58	CG선택
0x354E68	종류선택
0x354E78	충성설정
0x354E98	무장편집
0x354EA8	개인설정
0x354EB8	성격설정
0x354F08	상성
0x354F40	사망
0x354FA0	등장년
0x355608	종류
0x355610	능력
0x355618	병법
0x355620	충성
0x355628	소재
0x355678	능력
0x355690	병법
0x3556A8	병법
0x3556C0	군주
0x3556C8	도독
0x3556E8	우호
0x3556F8	연합
0x355708	표적
0x355740	성
0x355748	명
0x355750	자
0x355768	신분
0x355770	충성
0x355778	작위
0x355780	숙련
0x3557A0	생년
0x3557B8	수행
0x3557D8	명령
0x3557E0	사후명령
0x355830	사자
0x355B58	소속
0x355B68	상태
0x3568A0	소속
0x3568B0	효과
0x3568C8	상태
0x3568D8	수송
0x3568E0	위임
0x3568E8	이동
0x3568F0	화공
0x3568F8	탈취
0x356900	요청
0x356910	소속
0x356918	효과
0x356930	상태
0x356940	소재
0x356948	탐색
0x356950	소재
0x356958	소속
0x356960	효과
0x356978	상태
0x356988	수입
0x356990	인접
0x3569A8	소속
0x3569B0	효과
0x3569C8	상태
0x3569D8	수입
0x3569E0	인접
0x3569F0	위임
0x3569F8	소재
0x356A00	배치
0x356A08	소속
0x356A10	방침
0x356A38	위임
0x356A48	특징
0x356A50	상태
0x356A58	소속
0x356A78	외교
0x356A80	요청
0x356A98	상태
0x356AA0	소속
0x356AC0	외교
0x356AC8	요청
0x356AD8	위임
0x356AE0	유언
0x356AE8	유언
0x356AF0	요청
0x356AF8	증정
0x356B00	권고
0x356B18	특징
0x356B20	설명
0x356B28	종류
0x356B30	특징
0x356B58	특징
0x356B60	종류
0x356B70	특징
0x356B88	설명
0x356B90	설명
0x356B98	소속
0x356BA0	능력
0x356BB0	소속
0x356BB8	명령
0x356BC0	작위
0x356C00	궁기
0x356C08	노병
0x356C10	수군
0x356C18	공성
0x356C20	지식
0x356C28	모략
0x356C30	책략
0x356C40	능력
0x356C58	궁기
0x356C60	노병
0x356C68	수군
0x356C70	공성
0x356C78	지식
0x356C80	모략
0x356C88	책략
0x356CA0	궁기
0x356CA8	노병
0x356CB0	수군
0x356CB8	공성
0x356CC0	지식
0x356CC8	모략
0x356CD0	책략
0x356CD8	등용
0x356CE0	출진
0x356CE8	건설
0x356CF0	수송
0x356D00	작위
0x356D08	포상
0x356D10	수여
0x356D18	처단
0x356D20	추방
0x356D28	순찰
0x356D30	상업
0x356D38	개간
0x356D40	보수
0x356D48	징병
0x356D50	훈련
0x356D58	구입
0x356D60	매각
0x356D68	소환
0x356D70	이동
0x356D78	탐색
0x356D80	등용
0x356D88	허보
0x356D90	교란
0x356D98	격려
0x356DA0	구원
0x356DA8	이간
0x356DB0	이간
0x356DB8	화공
0x356DC0	탈취
0x356DC8	유언
0x356DD0	증정
0x356DD8	요청
0x356DE0	요청
0x356DE8	반환
0x356DF0	반환
0x356DF8	권고
0x356E00	배치
0x356E30	상성
0x356E38	군주
0x356E78	군주
0x356E80	육성
0x356E90	능력
0x356E98	특징
0x356EA0	효과
0x356EA8	설명
0x356EB8	특징
0x356ED8	육상
0x356EE0	수상
0x356EE8	명령
0x356EF0	방침
0x356F00	허보
0x356F08	교란
0x356F10	격려
0x356F18	구원
0x35ABB8	상태
0x364B80	무장편집
0x364B98	특기
0x364BC0	병역인구
0x364BD0	일반인구
0x364BE0	지도내용
0x364BF0	지도방침
0x364C00	엄격
0x364C08	견실
0x364C10	친절
0x364C18	지도무장
0x364C28	군단편집
0x364C38	도시편집
0x364C48	시설편집
0x364C58	장애물편집
0x364C68	의리
0x364C70	야망
0x364C78	상성
0x364C80	수명
0x364C88	충성
0x364ED8	스토리 선택
0x364FF8	규칙설정
0x365040	능력설정
0x365050	개인설정
0x365070	병법설정
