# 작업 e01 — 실행파일(SLPM_656.73) 메뉴·라벨 문자열 번역 (오프셋<TAB>번역)
# 폭·바이트 한계 때문에 띄어쓰기를 뺀 곳이 있다 (예: 세력목록, 등록무장세이브).
# 세이브/로드/포맷 작업 이름은 「%s를 계속하시겠습니까?」 등에 들어가므로 받침 없는 말로 끝낸다.
0x352AA0	최소
0x352AA8	최대
0x352AC0	수치를 입력하십시오
0x352AF0	정보목록
0x352B00	정보
0x352B08	지도
0x352B50	도시무장
0x352B70	부대무장
0x352B90	세력무장
0x352BB0	군단무장
0x352BC0	전무장
0x352BC8	전도시
0x352BD0	전세력
0x352BD8	전부대
0x352BE0	전군단
0x352BE8	전아이템
0x352C18	게임 종료
0x352C38	군사
0x352C40	인재
0x352C48	계략
0x352C58	임면
0x352C70	지역무장
0x352C80	전지역
0x352C88	전관작
0x352C90	기타
0x352C98	세력작위
0x352CA8	세력병법
0x352CB8	세력진형
0x352CC8	세력배
0x352CD0	클리어조건
0x352CE8	새작위임명
0x352CF8	상국
0x352D00	대원수
0x352D08	서역도호
0x352D18	후계자
0x352D20	남은 육성P %3dP
0x352D98	경제
0x352DA0	전력
0x352DC8	체력
0x352DD8	통솔경험
0x352DE8	무력경험
0x352DF8	지력경험
0x352E08	정치경험
0x352E30	병법1
0x352E38	병법2
0x352E40	병법3
0x352E58	개인
0x352EC8	지도
0x352ED8	전체
0x352EF8	세력목록
0x352F08	군단목록
0x352F18	지역목록
0x352F28	도시목록
0x352F38	시설목록
0x352F48	부대목록
0x352F58	무장목록
0x352F68	아이템 목록
0x352F78	병법목록
0x352F88	진형목록
0x352F98	국호목록
0x352FA8	관작목록
0x352FB8	작위목록
0x352FC8	공작물목록
0x352FD8	대상목록
0x352FE8	배목록
0x353000	군단선택
0x353010	지역선택
0x353020	도시선택
0x353030	시설선택
0x353040	부대선택
0x353060	아이템 선택
0x353070	병법선택
0x353080	진형선택
0x353090	국호선택
0x3530A0	작위선택
0x3530B0	공작물선택
0x3530C0	대상선택
0x3530D0	배선택
0x3530D8	건설지역선택
0x353118	실행
0x353120	중지
0x353128	해방
0x353138	승낙
0x353140	거부
0x353150	실행무장
0x353160	대상무장
0x353178	실행세력
0x353188	대상세력
0x353198	표적세력
0x3531A8	회답세력
0x3531C8	대상지역
0x3531E0	대상부대
0x3531F8	대상시설
0x353250	회답
0x353258	무조건
0x353260	현역군사
0x353320	시세
0x353330	금 1당 병량 %2d
0x353348	개별임명
0x353370	공석임명
0x353380	승격임명
0x353390	전해임
0x353398	능력전환
0x3533E8	%2d도시
0x353400	신규
0x353408	변경
0x353410	해제
0x353450	총병사
0x353458	위임금
0x353460	위임병량
0x353470	군주금
0x353478	군주병량
0x353488	군주군단
0x353498	군주지력
0x3534A8	군사지력
0x353530	공격
0x353538	무시
0x353540	허가
0x353548	불가
0x353558	%s건설
0x353570	증정내용
0x353580	관망
0x353588	%d일
0x3535C8	%d일후
0x3535D8	외%2d
0x3537F0	일반위임
0x353860	미발
0x353868	대기
0x3538D0	양호
0x3538D8	경상
0x3538E0	중상
0x353958	부재
0x353960	주재
0x353968	상주
0x3539E0	보병계 병법이 잘 발동됨
0x353A30	기병계 병법이 잘 발동됨
0x353A80	기병, 궁기계 병법이 잘 발동됨
0x353AE0	노병계 병법이 잘 발동됨
0x353B60	보병계 병법 취약
0x353B80	병법 「시우」를 발동함
0x353BA0	병법 「강습」을 발동함
0x353BC0	병법 「난사」를 발동함
0x353BE0	병법 「강공」「난사」를 발동함
0x353C00	명마
0x353C08	무기
0x353C10	병서
0x353C18	정서
0x353C20	사서
0x353C28	경서
0x353C30	논문
0x353C38	지도
0x353C40	의서
0x353C48	기서
0x353C50	옥새
0x353C58	보물
0x353C60	장식
0x353C70	퇴각보장
0x353C80	신망+100
0x353C90	미사용
0x353CA8	저지
0x353D18	철거
