# 라벨 번역 2
色付き本拠	색본거
支出	지출
収入	수입
予想	예상
近衛	근위
武将	무장
充足	충족
ランク	랭크
強弱	강약
タイプ	타입
育成Ｐ	육성P
歩兵による強力な攻撃です	보병의 강력한 공격입니다
奮戦より強力な歩兵攻撃です	분전보다 강력한 보병 공격입니다
歩兵最強の兵法です	보병 최강의 병법입니다
騎兵による強力な攻撃です	기병의 강력한 공격입니다
突破より強力な騎兵攻撃です	돌파보다 강력한 기병 공격입니다
騎兵最強の兵法です	기병 최강의 병법입니다
騎兵による強力な間接攻撃です	기병의 강력한 간접 공격입니다
騎射より強力な間接攻撃です	기사보다 강력한 간접 공격입니다
弓騎最強の兵法です	궁기 최강의 병법입니다
弩兵による強力な間接攻撃です	노병의 강력한 간접 공격입니다
斉射より強力な間接攻撃です	제사보다 강력한 간접 공격입니다
弩兵最強の兵法です	노병 최강의 병법입니다
蒙衝を編成できます	몽충을 편성할 수 있습니다
楼船を編成できます	누선을 편성할 수 있습니다
闘艦を編成できます	투함을 편성할 수 있습니다
井闌を編成できます	정란을 편성할 수 있습니다
衝車を編成できます	충차를 편성할 수 있습니다
投石を編成できます	투석을 편성할 수 있습니다
象兵を編成できます	상병을 편성할 수 있습니다
建設費用が安くなります	건설 비용이 줄어듭니다
石兵を建設できます	석병을 건설할 수 있습니다
罠にかかりません	덫에 걸리지 않습니다
状態異常になりません	상태 이상이 되지 않습니다
敵を混乱させます	적을 혼란시킵니다
地形に応じて罠で攻撃できます	지형에 맞는 덫으로 공격합니다
敵の兵士を味方につけます	적의 병사를 아군으로 만듭니다
敵複数に被害を与え、混乱させます	여러 적에게 피해를 주고 혼란시킵니다
敵の士気を下げます	적의 사기를 떨어뜨립니다
味方の士気を上げます	아군의 사기를 올립니다
味方複数部隊の負傷兵を回復します	아군 여러 부대의 부상병을 회복합니다
敵複数に被害を与え、士気を下げます	여러 적에게 피해를 주고 사기를 떨어뜨립니다
水軍による強力な間接攻撃です	수군의 강력한 간접 공격입니다
矢雨よりも強力な水軍間接攻撃です	시우보다 강력한 수군 간접 공격입니다
水軍による強力な斬り込み攻撃です	수군의 강력한 돌입 공격입니다
強襲よりも強力な水軍攻撃です	강습보다 강력한 수군 공격입니다
土に穴罠を掘り、敵を攻撃します	땅에 함정을 파서 적을 공격합니다
森に火を放ち、敵を攻撃します	숲에 불을 놓아 적을 공격합니다
水域に罠を作り、船を攻撃します	수역에 덫을 놓아 배를 공격합니다
崖から岩を落とし、敵を攻撃します	벼랑에서 바위를 떨어뜨려 공격합니다
施設から岩を落とします	시설에서 바위를 떨어뜨립니다
施設の射程範囲が広くなります	시설의 사정거리가 넓어집니다
系統	계통
熟練	숙련
威力	위력
水域	수역
休憩	휴식
対施設	대시설
魚鱗	어린
鶴翼	학익
錐行	추행
鋒矢	봉시
雁行	안행
箕形	기형
長蛇	장사
方円	방원
正陣	정진
建設	건설
輸送	수송
倭	왜
烏丸	오환
羌	강
山越	산월
