# 라벨 번역 4
同討	동토
登場	등장
統率兵士	통솔병사
登録武将	등록무장
弩兵系兵法	노병계 병법
な行	목록5
難易度	난이도
南北	남북
画面では、南は左下、北は右上です	화면에서는 남쪽이 왼쪽 아래, 북쪽이 오른쪽 위입니다
は行	목록6
配置	배치
蛮兵	만병
兵糧支出	병량지출
武将データ	무장 데이터
不和	불화
歩兵系兵法	보병계 병법
ま行	목록7
未発見	미발견
メッセージ	메시지
や行	목록8
ら行	목록9
冷静	냉정
列伝	열전
わ行	목록10
巡察	순찰
商業	상업
開墾	개간
訓練	훈련
呼寄	호출
撹乱	교란
激励	격려
救援	구원
離間	이간
焼討	화공
奪取	탈취
贈呈	증정
勧告	권고
褒美	포상
贈呈・回答	증정・회답
要請・回答	요청・회답
要請・決断	요청・결단
返還・回答	반환・회답
返還・決断	반환・결단
勧告・回答	권고・회답
方針決定	방침결정
初期メニュー	초기 메뉴
開始前確認	최종 확인
方陣	방진
円陣	원진
鉤行	구행
前列	전열
中列	중열
後列	후열
高揚	고양
昇格	승격
降格	강등
到着予定	도착예정
内政重視	내정중시
術策系兵法	술책계 병법
策略系兵法	책략계 병법
水軍系兵法	수군계 병법
知識系兵法	지식계 병법
攻城系兵法	공성계 병법
イベント	이벤트
未作成です	미작성입니다
視界	시야
障害物	장애물
破壊力	파괴력
一覧	목록
チュートリアル	튜토리얼
顔選択	얼굴선택
改修	개수
購入	구입
売却	매각
出陣時期	출진시기
異民族	이민족
謀略系兵法	모략계 병법
連鎖	연쇄
進行報告	진행보고
弓騎系兵法	궁기계 병법
敵対	적대
セーブ	세이브
中地図	중지도
勢力情報	세력정보
軍団情報	군단정보
都市情報	도시정보
地域情報	지역정보
部隊情報	부대정보
武将情報	무장정보
アイテム情報	아이템정보
修行	수행
予想金	예상금
予想兵糧	예상병량
在野登用	재야등용
布陣画面	포진화면
内政選択	내정선택
新勢力変更	신세력변경
勢力地図選択	세력지도선택
都市地図選択	도시지도선택
チャレンジシナリオ	챌린지 시나리오
クリア条件	클리어 조건
ギャラリーメニュー	갤러리 메뉴
アイテムコレクション	아이템 컬렉션
アイテム閲覧	아이템 열람
護符情報	호부정보
生年設定	생년설정
内面設定	내면설정
関係設定	관계설정
能力設定	능력설정
兵法設定	병법설정
名前入力	이름입력
経験	경험
最大能力	최대능력
護符	호부
軍師（命令）	군사(명령)
爵位（命令）	작위(명령)
育成	육성
能力上昇	능력상승
新爵位任命	새 작위 임명
シナリオ概要	시나리오 개요
施設情報	시설정보
ジャンプリスト	점프 목록
サウンド設定	사운드 설정
チャレンジモード選択	챌린지 모드 선택
ストーリー選択	스토리 선택
ストーリー概要	스토리 개요
ステージ選択	스테이지 선택
ステージ概要	스테이지 개요
エキスパート設定	고급 설정
敵戦力の設定	적 전력 설정
武将編集	무장편집
個人設定	개인설정
性格設定	성격설정
軍団編集	군단편집
都市編集	도시편집
特性設定	특성설정
施設編集	시설편집
障害物編集	장애물편집
指導内容	지도내용
登録メニュー	등록 메뉴
新アイテム登録	신아이템 등록
アイテム作成	아이템작성
ＣＧ選択	CG선택
種類選択	종류선택
忠誠設定	충성설정
ルール設定	규칙설정
得意	특기
兵士にすることができない人口です。	병사로 삼을 수 없는 인구입니다.
指導武将	지도무장
指導方針	지도방침
厳格	엄격
堅実	견실
親身	친절
勢力統合	세력통합
兵士抜擢	병사발탁
ストーリー	스토리
ステージ	스테이지
タイムアップ	시간 초과
中継点	중계점
討死	전사
登録アイテム	등록 아이템
都市兵法	도시병법
「連環の計」は未遂に終わりました	「연환계」는 실패로 끝났습니다
こりゃ、カチカチだぁ！	이거 단단하구먼!
こりゃ、カチカチですな！	이거 단단하군요!
心得！	알겠소!
③購入と売却	③구입과 매각
おつかれさま～！	수고하셨습니다~!
次は俺様の腕の見せ所だ！	다음은 이 몸이 솜씨를 보일 차례다!
次は負けぬぞ！	다음엔 지지 않겠다!
もはや恐れるものなし！	이제 두려울 것이 없다!
今回は「施設」の中の……	이번에는 「시설」 안의……
「徴兵」を選んでください	「징병」을 선택하십시오
ここで「登用」を選択します	여기서 「등용」을 선택합니다
今回は、命令の「施設」を押して……	이번에는 명령의 「시설」을 누르고……
「巡察」を選びましょう	「순찰」을 선택합시다
育成編	육성편
①育成のコツ	①육성 요령
経験と護符	경험과 호부
攻略のコツ	공략 요령
　経験とは？	　경험이란?
　護符とは？	　호부란?
①巡察のコツ	①순찰 요령
　内政の基本	　내정의 기본
②商業と開墾	②상업과 개간
　人口と収入	　인구와 수입
　相場とは？	　시세란?
④徴兵と訓練	④징병과 훈련
　士気とは？	　사기란?
　耐久とは？	　내구란?
　到着予定？	　도착예정?
　粘り強く！	　끈질기게!
①いざ出陣！	①자, 출진!
　宣戦布告？	　선전포고?
②武将選び　	②무장 선택
選ぶコツ	선택 요령
③兵法選び　	③병법 선택
　連鎖とは？	　연쇄란?
④陣形選び　	④진형 선택
　効果とは？	　효과란?
⑤命令変更	⑤명령변경
