# id	일본어	한국어
0	百官が居並ぶ中、新たな称号の誕生が宣言された。	백관이 늘어선 가운데 새로운 칭호의 탄생이 선포되었다.
1	その名は「五虎将軍」。	그 이름은 「오호장군」.
2	招き入れられる5人の勇姿は、戦場さながらの威風を放つ。	안으로 들어서는 다섯 용장은 전장 그대로의 위풍을 내뿜는다.
3	即ち、義を知り勇を知る、無双の武人・関羽。	의를 알고 용기를 아는 무쌍의 무인 관우.
4	死地に武威を轟かす、戦場の鬼神・張飛。	사지에서 무위를 떨치는 전장의 귀신 장비.
5	一身これすべて胆、不屈の偉丈夫・趙雲。	온몸이 담력 덩어리인 불굴의 대장부 조운.
6	老いてますます盛ん、百発百中の射手・黄忠。	늙을수록 더욱 강건한 백발백중의 궁수 황충.
7	西涼の錦と謳われる、神威将軍・馬超。	서량의 비단이라 칭송받는 신위장군 마초.
8	戦神の到来に宮中が湧き、歓声が波のように広がった。	전쟁의 신들이 나타나자 궁중이 들끓고 환호성이 물결처럼 퍼져 나갔다.
9	やがて、五虎将軍の名は天下に轟くこととなる。	머지않아 오호장군의 이름은 천하에 떨치게 된다.
