# 원문 폭에 맞춰 줄인 라벨·설명 (단위ID<TAB>번역)
M00070.0	영웅집결~중원의 패자
M01044.0	군주얼굴No
M01179.0	깃발No
M05157.0	얼굴No
M05315.0	깃발글자No
M01229.0	분전보다 강한 보병 공격
M01232.0	보병 최강의 병법
M01238.0	돌파보다 강한 기병 공격
M01241.0	기병 최강의 병법
M01244.0	기병의 강력한 간접 공격
M01247.0	기사보다 강한 간접 공격
M01250.0	궁기 최강의 병법
M01253.0	노병의 강력한 간접 공격
M01256.0	제사보다 강한 간접 공격
M01259.0	노병 최강의 병법
M01262.0	몽충 편성 가능
M01265.0	누선 편성 가능
M01268.0	투함 편성 가능
M01271.0	정란 편성 가능
M01274.0	충차 편성 가능
M01277.0	투석 편성 가능
M01280.0	상병 편성 가능
M01286.0	석병 건설 가능
M01289.0	덫에 걸리지 않음
M01292.0	상태 이상에 안 걸림
M01295.0	적을 혼란시킴
M01298.0	지형에 맞는 덫으로 공격
M01301.0	적 병사를 아군으로 만듦
M01304.0	여러 적을 공격해 혼란시킴
M01307.0	적의 사기를 낮춤
M01310.0	아군의 사기를 높임
M01313.0	아군 여러 부대의 부상병 회복
M01316.0	여러 적을 공격해 사기를 낮춤
M01319.0	수군의 강력한 간접 공격
M01322.0	시우보다 강한 수군 간접 공격
M01328.0	강습보다 강한 수군 공격
M01331.0	땅에 함정을 파서 적을 공격
M01334.0	숲에 불을 놓아 적을 공격
M01337.0	물에 덫을 놓아 배를 공격
M01340.0	벼랑에서 바위를 떨궈 공격
M01343.0	시설에서 낙석 공격
M05656.0	보병계 병법이 유리한 속공용 진형
M05662.0	기동력이 뛰어나 여러 상황에 쓰는 진형
M05665.0	기병계 병법과 일기토를 노리는 초공격형 진형
M05668.0	노병계 병법이 유리한 공성전용 진형
M05671.0	저격으로 대장 통솔을 낮추는 공성용 진형
M05674.0	기동력이 최고인 이동・기습용 진형
M05677.0	병사 손실을 막는 수비・장기전용 진형
M05680.0	수비병에게 강한 공성전용 진형
M05683.0	성벽 파괴력이 최고인 공성전용 진형
M05686.0	사정이 긴 강력한 투석을 하는 공성전용 진형
M05689.0	부대 상대로도 강한 공성전용 진형
M05695.0	건설 전용 진형
M05698.0	수송 전용 진형
M05701.0	왜군 전용 진형
M05704.0	오환군 전용 진형
M05707.0	강군 전용 진형
M05710.0	산월군 전용 진형
M05713.0	남만군 전용 진형
M05716.0	기동력이 뛰어난 배
M05719.0	직접 공격에 강한 공격형 배
M05722.0	간접 공격에 강한 대형선
M05731.0	수송 전용 수군 진형
M05734.0	이민족 수군 진형
M08801.0	연주・기주 중심의 나라
M08812.0	병주・기주 중심의 나라
M08813.0	청주・서주 중심의 나라
M08814.0	예주・서주 중심의 나라
M08815.0	형주・양주 중심의 나라
M08816.0	양주 중심의 나라
M08822.0	군주의 칭호. 황제 다음 서열
M08823.0	주나라 제후 작위의 첫째
M08825.0	역적 토벌 장군. 삼공보다 위
M08827.0	주의 감찰을 맡음. 구경 아래
M08828.0	주의 군정을 맡음. 구경 아래
M08830.0	황제를 보좌하는 최고 집정관
M08838.0	천자 숙위를 맡는 장관. 구경
M08839.0	국가 재정을 맡는 장관. 구경
M08841.0	국가 사법을 맡는 장관. 구경
M08842.0	청・연・서・양주 통솔 장군
M08846.0	문서 담당 장관. 구경과 동격
M08847.0	천자 거마를 맡는 장관. 구경
M08855.0	관리 감찰・탄핵을 맡는 장관
M08856.0	수도 치안을 맡는 장관. 구경
M08857.0	궁중 의복・음식 담당. 구경
M08865.0	관리 자제에게 오경을 가르침
M08870.0	고관 임명・백관 서열을 맡음
M08871.0	군을 맡아 각 군의 치안 담당
M08872.0	시중 아래서 상서 주사를 처리
M08878.0	조정이 반포할 문서를 기초
M08888.0	집금오 소속. 무기를 정비함
M10182.0	동쪽: 오른쪽 아래, 서쪽: 왼쪽 위
M10217.0	남쪽: 왼쪽 아래, 북쪽: 오른쪽 위
M11190.0	알았소
M11266.0	다음엔 이 몸이 나설 차례다!
M11295.0	이번엔 명령 「시설」을 누르고……
