M06497.0	명령서가 없습니다
M06498.0	현역 무장이 없습니다
M06499.0	병사가 없습니다
M09793.0	병사가 없습니다
M06500.0	금이 없습니다
M06519.0	금이 없습니다
M06501.0	금이 부족합니다
M09468.0	금이 부족합니다
M06502.0	임명할 수 있는 무장이 없습니다
M06503.0	포로가 없습니다
M06504.0	포로 무장을 처단합니다
M09452.0	포로 무장을 처단합니다
M06505.0	추방할 수 있는 무장이 없습니다
M06506.0	부하 무장이나 포로 무장을 추방합니다
M06507.0	군사를 임명합니다
M06508.0	대장은 바꿀 수 없습니다
M06509.0	대장을 임명합니다
M06510.0	아이템이 없습니다
M09450.0	아이템이 없습니다
M06511.0	부하 무장에게 아이템을 수여합니다
M06512.0	아이템을 가진 현역 부하 또는 포로가 없습니다
M06513.0	부하 무장의 아이템을 몰수합니다
M06514.0	부하 무장에게 작위를 내립니다
M06515.0	위임할 수 있는 도시가 없습니다
M06516.0	군단을 편성, 해체, 변경합니다
M06517.0	이미 징병했습니다
M06518.0	병역인구가 없습니다
M06520.0	도시에서 병사를 모아 전쟁에 대비합니다
M06521.0	상인이 없습니다
M06522.0	금도 병량도 없습니다
M06523.0	병량이 부족합니다
M06524.0	병량을 사고팝니다
M06525.0	상태가 일반도 교전도 아닙니다
M06526.0	부대를 편성합니다
M06634.0	부대를 편성합니다
M06527.0	상태가 일반이 아닙니다
M06528.0	무장 방침을 바꿉니다
M06529.0	무장이나 아이템을 탐색합니다
M06531.0	공격 대상이 될 부대가 없습니다
M06532.0	타세력의 부대나 시설을 공격합니다
M06533.0	표적을 지정하십시오
M06538.0	공작할 수 있는 곳이 없습니다
M06539.0	시설이나 장애물을 설치합니다
M06540.0	간소한 전선 시설입니다
M06541.0	진보다 강력한 전선 시설입니다
M06542.0	사정 범위가 넓어지는 시설입니다
M06543.0	견고한 전선 시설입니다
M06544.0	간소한 장애물입니다
M06545.0	절벽에서 토사를 떨어뜨려 만드는 장애물입니다
M06546.0	견고한 장애물입니다
M06547.0	파괴하면 피해를 입는 장애물입니다
M06548.0	동서를 향하고 있습니다
M06549.0	남북을 향하고 있습니다
M06550.0	공작 지점을 선택하십시오
M06551.0	{U:F0BC}버튼으로 공작 지점(밝은 지점)을 선택하십시오
M06553.0	보수할 수 있는 시설이 없습니다
M06554.0	시설의 내구를 높여 전쟁에 대비합니다
M06555.0	보수할 시설을 지정하십시오
M06557.0	파괴할 수 있는 공작물이 없습니다
M06558.0	공작물을 파괴합니다
M06559.0	파괴할 공작물을 지정하십시오
M06561.0	책략을 펼칩니다
M06562.0	평지에 함정을 설치합니다
M06563.0	숲에 불덫을 설치합니다
M06564.0	수역에 물덫을 설치합니다
M06565.0	절벽 위에 돌덫을 설치합니다
M06566.0	환술을 펼칩니다
M06567.0	요술을 펼칩니다
M06568.0	자세력 부상병의 상처를 치료합니다
M06569.0	책략을 펼칠 지점을 지정하십시오
M06570.0	보병계 병과만 실행할 수 있습니다
M06571.0	도독으로 삼을 수 있는 무장이 없습니다
M06572.0	현역 부하 무장이 없습니다
M06573.0	실행할 수 있는 무장이 없습니다
M06574.0	등용 대상이 될 무장이 없습니다
M06575.0	타세력이나 재야의 무장을 등용합니다
M06576.0	등용할 무장을 정하십시오
M06577.0	실행할 수 있는 군사 명령이 없습니다
M06578.0	부대에 군사 행동을 지시합니다
M06579.0	실행할 수 있는 계략이 없습니다
M06580.0	무장에게 명해 계략을 실행하게 합니다
M06581.0	실행할 수 있는 외교가 없습니다
M06582.0	무장을 사자로 임명해 외교를 펼칩니다
M06583.0	무장 방침을 개별적으로 결정합니다
M06584.0	대상이 될 세력이 없습니다
M06588.0	대상이 될 세력이 없습니다
M06585.0	두 세력 사이의 우호를 악화시킵니다
M06586.0	대상 세력을 선택하십시오
M06590.0	대상 세력을 선택하십시오
M09153.0	대상 세력을 선택하십시오
M06587.0	표적 세력을 선택하십시오
M09171.0	표적 세력을 선택하십시오
M06589.0	표적으로 삼은 시설에 출병을 요청합니다
M06591.0	표적시설을 선택하십시오
M09304.0	표적시설을 선택하십시오
M06592.0	{U:F0BC}버튼으로 표적시설을 선택하십시오
M09305.0	{U:F0BC}버튼으로 표적시설을 선택하십시오
M06593.0	포로가 된 무장이 없습니다
M06594.0	포로 반환을 교섭합니다
M06595.0	포로를 선택하십시오
M09355.0	포로를 선택하십시오
M06598.0	대상이 될 현역 무장이 없습니다
M06599.0	현역 부하 무장이 있는 세력이 없습니다
M06601.0	실행할 수 있는 명령이 없습니다
M06602.0	무장에게 명령을 내립니다
M06603.0	혼란에 빠진 시설에서는 실행할 수 없습니다
M06604.0	교전 중에는 실행할 수 없습니다
M06605.0	그 명령은 이미 실행했습니다
M06606.0	민심은 충분히 높습니다
M06607.0	도시를 순회하며 민심을 장악합니다
M06608.0	이 도시는 충분히 발전했습니다
M06609.0	도시의 금 수익을 올립니다
M06610.0	더 이상 개간할 수 없습니다
M06611.0	도시의 병량 수확을 올립니다
M06612.0	시설의 내구는 충분합니다
M06613.0	시설의 내구를 올려 방비를 갖춥니다
M06614.0	더 이상 훈련할 수 없습니다
M06615.0	병사의 사기를 높여 전쟁에 대비합니다
M06616.0	건설을 명할 수 있는 부대가 없습니다
M06617.0	건설을 명할 부대를 선택하십시오
M06618.0	출진 중인 부대가 없습니다
M06619.0	퇴각을 명령할 수 있는 부대가 없습니다
M06620.0	출진 중인 부대에 퇴각을 명합니다
M06621.0	퇴각시킬 부대를 선택하십시오
M06623.0	수비를 명령할 수 있는 부대가 없습니다
M06624.0	부대에 시설 수비를 명합니다
M06625.0	수비를 맡길 부대를 선택하십시오
M06626.0	공작물을 철거합니다
M06628.0	부대를 출진시킵니다
M06629.0	출진시킬 부대를 선택하십시오
M06630.0	표적을 선택하십시오
M06631.0	{U:F0BC}버튼으로 표적을 선택하십시오
M06632.0	목표 시설을 선택하십시오
M06633.0	{U:F0BC}버튼으로 목표 시설을 선택하십시오
M06635.0	금이 {V:65} 이상 필요합니다
M06636.0	시설에 현역 무장이 없습니다
M06637.0	충성 {V:65} 미만인 부하 무장이 없습니다
M06638.0	포상을 내릴 수 있는 무장이 없습니다
M06639.0	부하 무장의 충성을 올립니다
M06640.0	설득할 수 있는 무장이 없습니다
M06641.0	허보를 걸 수 있는 적 부대가 없습니다
M06642.0	적 부대에 거짓 정보를 흘려 퇴각시킵니다
M06643.0	허보를 걸 적 부대를 선택하십시오
M06644.0	{U:F0BC}버튼으로 허보를 걸 적 부대를 선택하십시오
M06645.0	교란할 수 있는 적 부대가 없습니다
M06646.0	적 부대를 일정 시간 무진 상태로 만듭니다
M06647.0	교란할 적 부대를 선택하십시오
M06648.0	{U:F0BC}버튼으로 교란할 적 부대를 선택하십시오
M06649.0	대상이 될 시설이 없습니다
M06650.0	적 시설에 잠입해 물자를 빼앗습니다
