M09802.0	편집 전의 도시 데이터로 되돌립니다
M09803.0	도시 데이터가 바뀌지 않았습니다
M09804.0	편집할 도시를 선택하십시오
M09805.0	도시 데이터를 갱신합니다
M09806.0	시설 데이터를 편집하십시오
M09807.0	편집 전의 시설 데이터로 되돌립니다
M09808.0	시설 데이터가 바뀌지 않았습니다
M09809.0	편집할 시설을 선택하십시오
M09810.0	시설 데이터를 갱신합니다
M09811.0	장애물 데이터를 편집하십시오
M09812.0	편집 전의 장애물 데이터로 되돌립니다
M09813.0	장애물 데이터가 바뀌지 않았습니다
M09814.0	편집할 장애물을 선택하십시오
M09815.0	장애물 데이터를 갱신합니다
M09816.0	이 군단의 금과 병량을 편집합니다
M09817.0	금의 양을 바꿉니다
M09818.0	병량의 양을 바꿉니다
M09819.0	군단이 없습니다
M09820.0	편집 전의 군단 데이터로 되돌립니다
M09821.0	군단 데이터가 바뀌지 않았습니다
M09822.0	편집할 군단의 세력을 선택하십시오
M09823.0	군단 데이터를 갱신합니다
M09849.0	무장 데이터를 편집합니다
M09850.0	군단 데이터를 편집합니다
M09851.0	도시 데이터를 편집합니다
M09852.0	시설 데이터를 편집합니다
M09853.0	장애물 데이터를 편집합니다
M09854.0	각 데이터를 편집합니다
M09855.0	고급 규칙을 설정합니다
M09856.0	스토리를 선택하십시오
M09857.0	스테이지를 선택하십시오
M09858.0	장애물이 없습니다
M09872.0	이름을 입력합니다
M09873.0	종류를 설정합니다
M09874.0	이미지 CG를 선택합니다
M09875.0	소유 무장이나 숨길 지역을 설정합니다
M09877.0	충성의 상승치를 설정합니다
M09878.0	능력상승 효과는 없습니다
M09879.0	능력의 상승치를 설정합니다
M09880.0	모든 항목을 설정하십시오
M09881.0	이름을 입력하십시오(이름・읽기 필수)
M09882.0	이름・읽기를 입력하십시오
M09883.0	이미지 CG를 선택하십시오
M09884.0	통솔의 상승치를 설정합니다
M09885.0	무력의 상승치를 설정합니다
M09886.0	지력의 상승치를 설정합니다
M09887.0	정치의 상승치를 설정합니다
M09888.0	소재지를 선택하십시오
M09889.0	소유할 무장을 선택하십시오
M09890.0	숨길 지역을 선택하십시오
M09891.0	내용을 바꿀 아이템을 선택하십시오
M09892.0	삭제할 아이템을 선택하십시오
M09896.0	등록 아이템의 병법설정을 지웁니다
