M06031.0	주
M06033.0	용서해 다오……⏎도원결의를⏎지키지 못하게 되었구나……
M08039.0	용서해 다오……⏎도원결의를⏎지키지 못하게 되었구나……
M06033.1	원통하다⏎도원결의를⏎이루지 못하게 되었구나……
M08039.1	원통하다⏎도원결의를⏎이루지 못하게 되었구나……
M06033.2	미안하오, 형님⏎도원결의를⏎지키지 못하게 됐소……
M08039.2	미안하오, 형님⏎도원결의를⏎지키지 못하게 됐소……
M06033.3	하늘은 어찌하여⏎이 시대에 나를⏎태어나게 했단 말인가……
M08039.3	하늘은 어찌하여⏎이 시대에 나를⏎태어나게 했단 말인가……
M06033.4	주군께 등을 돌린 채⏎죽을 수는 없다⏎방향을 돌려 주게
M06035.0	잘 싸웠어요⏎후회는 없어요
M08041.0	잘 싸웠어요⏎후회는 없어요
M06035.1	내 무운도 여기까지군요⏎그래도 후회는 없어요
M08041.1	내 무운도 여기까지군요⏎그래도 후회는 없어요
M06035.2	저세상에서 기다리고 있을게요
M08041.2	저세상에서 기다리고 있을게요
M06035.3	이 몸이 썩어 없어져도⏎혼은 사라지지 않소!⏎명심해 두시오
M08041.3	이 몸이 썩어 없어져도⏎혼은 사라지지 않소!⏎명심해 두시오
M06036.0	이것으로 포로가 되는 치욕은⏎겪지 않아도 되겠군요……
M08042.0	이것으로 포로가 되는 치욕은⏎겪지 않아도 되겠군요……
M06036.1	이 {V:01DA}의 최후를⏎똑똑히 지켜보시오
M08042.1	이 {V:01DA}의 최후를⏎똑똑히 지켜보시오
M06036.2	이 또한 무인의 숙명이겠지요
M08042.2	이 또한 무인의 숙명이겠지요
M06036.3	내 죽어 호국의 귀신이 되리라
M06040.3	내 죽어 호국의 귀신이 되리라
M08042.3	내 죽어 호국의 귀신이 되리라
M08046.3	내 죽어 호국의 귀신이 되리라
M06037.0	지금껏 흘려 온⏎피의 양에 비하면⏎하찮은 것이지요……
M08043.0	지금껏 흘려 온⏎피의 양에 비하면⏎하찮은 것이지요……
M06037.1	하늘도 나를 버렸나……
M08043.1	하늘도 나를 버렸나……
M06037.2	내 인생에 후회는 없다……
M06041.2	내 인생에 후회는 없다……
M08043.2	내 인생에 후회는 없다……
M08047.2	내 인생에 후회는 없다……
M06037.3	어쩔 수 없구나……
M06041.3	어쩔 수 없구나……
M08043.3	어쩔 수 없구나……
M08047.3	어쩔 수 없구나……
M06038.0	으악
M06042.0	으악
M08044.0	으악
M08048.0	으악
M06038.1	히, 히이익
M06042.1	히, 히이익
M08044.1	히, 히이익
