M06530.0	{V:01DA}에게⏎{V:3DA3} 탐색을⏎명하시겠습니까?
M06534.0	{V:01DA}대에게⏎{V:02DA}대 공격을 명합니다⏎사후명령을 선택하십시오
M06535.0	{V:01DA}대에게⏎{V:3DA3} 공격을 명합니다⏎사후명령을 선택하십시오
M06536.0	{V:01DA}대에게⏎{V:02DA}대 공격을⏎명하시겠습니까?
M06537.0	{V:01DA}대에게⏎{V:3DA3} 공격을⏎명하시겠습니까?
M06552.0	{V:01DA}대에게⏎{V:79} 공작을 명합니다⏎사후명령을 선택하십시오
M06556.0	{V:01DA}대에게⏎{V:3DA3} 보수를 명합니다⏎사후명령을 선택하십시오
M06560.0	{V:01DA}대에게⏎{V:3DA3} 파괴를 명합니다⏎사후명령을 선택하십시오
M06600.0	{V:01DA}대에게⏎{V:3DA3}까지 진군을 명합니다⏎사후명령을 선택하십시오
M06622.0	{V:01DA}대에게⏎{V:3DA3}까지 퇴각을⏎명하시겠습니까?
M06627.0	{V:3DA3} 철거를⏎명하시겠습니까?
M06679.0	{V:01DA} 이하 무장⏎{V:65}명을⏎{V:3DA3}에⏎불러들이시겠습니까?
M06680.0	{V:01DA} 이하 무장⏎{V:65}명을⏎{V:3DA3}까지⏎이동시키시겠습니까?
M06682.0	반{V:01DA} 연합을⏎해산하게 됩니다⏎괜찮겠습니까?
M06682.1	반{V:01DA} 연합에서⏎탈퇴하게 됩니다⏎괜찮겠습니까?
M06683.0	{V:1FC7}군과의⏎요청 약속이 파기됩니다⏎괜찮겠습니까?
M06685.0	아군은 반{V:03DA} 연합에⏎가맹해 있습니다⏎연합 기간은 1년입니다
M06685.2	아군은 반{V:03DA} 연합에⏎가맹해 있습니다⏎연합 기간은 1년입니다
M06685.1	아군은 반{V:03DA} 연합에⏎가맹해 있네⏎연합 기간은 1년일세
M06685.4	아군은 반{V:03DA} 연합에⏎가맹해 있네⏎연합 기간은 1년일세
M06685.3	아군은 반{V:03DA} 연합에⏎가맹하고 있습니다⏎연합 기간은 1년입니다
M06685.5	아군은 반{V:03DA} 연합에⏎가맹하고 있습니다⏎연합 기간은 1년입니다
M06686.0	우선, 아군을 타도하려고⏎{V:03DA}의 주도로 연합이⏎결성되어 있습니다
M06686.2	우선, 아군을 타도하려고⏎{V:03DA}의 주도로 연합이⏎결성되어 있습니다
M06686.1	우선, 아군을 타도하려고⏎{V:03DA}의 주도로 연합이⏎결성되어 있네
M06686.4	우선, 아군을 타도하려고⏎{V:03DA}의 주도로 연합이⏎결성되어 있네
M06686.3	우선, 아군을 타도하려고⏎{V:03DA}의 주도로 연합이⏎결성되었습니다
M06686.5	우선, 아군을 타도하려고⏎{V:03DA}의 주도로 연합이⏎결성되었습니다
M06691.0	머지않아⏎{C:25b}조조{C:32b}군이 쳐들어올 것입니다⏎군비를 갖춰 때를 기다립시다
M06691.1	{C:25b}원상{C:32b}군과는 양립할 수 없소⏎승리를 위해서라면 수단을⏎가려서는 안 되오
M06691.2	{C:25b}조조{C:32b}가 없는 지금이야말로⏎단숨에 세력을 넓혀⏎다음 결전에 대비할 때입니다
M06691.3	{C:25b}조조{C:32b}군에서 수전이 가능한 건⏎{C:25b}채모{C:32b} 등 {C:25b}유표{C:32b}군 출신뿐입니다⏎우선 그들을 묶어 둡시다
M06691.4	수전 준비는 만전입니다⏎파죽지세로 {C:25b}오{C:32b} 수군을⏎격파해 보이겠습니다
M06691.5	한실을 어지럽히는 역신을 칠⏎대의명분은 우리에게 있소⏎이제 {C:25b}원소{C:32b} 공의 지휘에 달렸소
M06691.6	여기 있는 사람들은 모두⏎{C:25b}유비{C:32b} 님을 흠모하는 이들뿐⏎하루빨리 뵙고 싶습니다
M06691.7	「창천은 이미 죽었으니⏎　황천이 마땅히 일어서리라」⏎우리의 시대가 머지않았소
M06691.8	조정의 위신을 바로잡기 위해⏎한시라도 빨리 {C:25b}장각{C:32b} 일당을⏎타도합시다
M06691.9	{C:25b}백부{C:32b}와 제가 힘을 합치면⏎강동 평정도 이룰 수 있습니다⏎선주공의 원한도 우리 손으로!
M06691.10	{C:25b}조조{C:32b}는 반드시⏎{C:25b}진류{C:32b}를 되찾으러 올 것이오⏎우리도 결전에 대비합시다
M06691.11	{C:25b}원소{C:32b}군은 강대하나⏎장수들의 결속이 허술합니다⏎인심을 공략해 봄 직합니다
M06691.12	아군이 유리하다고는 하나⏎방심은 금물입니다⏎{C:25b}조조{C:32b}의 움직임을 경계합시다
M06691.13	하북의 싸움은 끝났습니다⏎{C:25b}조조{C:32b}의 남하가 눈앞입니다⏎주위를 살피며 대비합시다
M06691.14	하북의 싸움은 끝났습니다⏎{C:25b}조조{C:32b}의 남하가 눈앞입니다⏎주위를 살피며 대비합시다
M06691.15	{C:25b}동관{C:32b}의 방비가 불완전합니다⏎{C:25b}마초{C:32b}의 기세를 꺾기 위해서도⏎서둘러 서쪽에 대비합시다
M06691.16	반드시 {C:25b}조조{C:32b}를 베어⏎{C:25b}마등{C:32b} 공의 영전에⏎바치도록 합시다
M06691.17	욱일승천의 기세라고는 하나⏎{C:25b}유비{C:32b}군은 막 커졌을 뿐이오⏎파고들 틈은 충분히 있소
M06691.18	{C:25b}맹획 대왕{C:32b}이시여,⏎중원 녀석들에게 우리 힘을⏎똑똑히 보여 줍시다
M06691.19	{C:25b}촉{C:32b}군이 장비를 강화했다 하니⏎관중에 들어오기 전에⏎요격해야 할 것입니다
M06691.20	{C:25b}위{C:32b}와는 양립할 수 없습니다⏎승리 없이 {C:25b}촉{C:32b}의 미래는 없음을⏎명심하시옵소서
M06691.21	{C:25b}백부{C:32b}여, 기다려 주게⏎자네가 내건 손오의 깃발이⏎중원에 휘날릴 그날을!
