M07054.0	{V:3DAC} 공략에⏎힘을 빌려주셨으면 합니다
M07054.1	어떻습니까?⏎{V:3DAC} 공략을⏎맡아 주실 수 없겠습니까?
M07054.2	귀군의 강병으로⏎{V:3DAC}에 공격을⏎가해 주셨으면 합니다
M07055.0	{V:1FC7}군의 요청을 승낙 중입니다⏎{V:1FC7}군의 요청은 무효가 됩니다⏎괜찮겠습니까?
M07057.0	맡겨 주십시오⏎기꺼이 맡겠습니다
M07057.1	알겠습니다⏎곧바로 출진 준비를⏎갖추도록 하지요
M07058.1	알겠습니다⏎곧바로 출진 준비를⏎갖추도록 하지요
M07057.2	안심하십시오⏎이 {V:01DA}의 이름을 걸고⏎{V:3DAC} 함락을 약속드리지요
M07058.0	내게 맡겨 두세요⏎기꺼이 맡아 드리지요
M07058.2	안심하세요⏎이 {V:01DA}의 이름을 걸고⏎{V:3DAC}, 꼭 함락시키겠어요
M07059.0	{V:3DAC} 공략에 성공하면⏎우리 세력도 커지겠군요⏎그 제안에 응하겠습니다
M07059.1	이것은 우리 군에도⏎득이 되는 이야기군요……⏎수락하겠습니다
M07059.2	이번에는 맡아 드리지요⏎단, 다음은 귀하의 차례입니다
M07060.0	{V:3DAC} 공략에 성공하면⏎우리 세력도 커지겠네요⏎그 제안에 응하지요
M07060.1	이것은 우리 군에도⏎득이 되는 이야기네요……⏎수락하지요
M07060.2	이번에는 맡아 드리지요⏎단, 다음은 귀하의 차례예요
M07061.0	알겠습니다⏎우리 군의 힘을⏎똑똑히 보여 드리지요
M07067.0	알겠습니다⏎우리 군의 힘을⏎똑똑히 보여 드리지요
M07061.1	이렇게까지 부탁하시니⏎거절할 수가 없습니다⏎수락하겠습니다
M07061.2	특별히 이의는 없습니다⏎요청을 받아들이겠습니다
M07067.2	특별히 이의는 없습니다⏎요청을 받아들이겠습니다
M07062.0	알겠어요⏎우리 군의 힘을⏎똑똑히 지켜보세요
M07062.1	이렇게까지 부탁하시니⏎거절할 수가 없네요⏎수락하지요
M07062.2	특별히 이의는 없어요⏎요청을 받아들이지요
M07063.0	맡겨만 주십시오!⏎기꺼이 맡겠습니다
M07063.1	알겠습니다!⏎곧 출진 준비를 갖추겠습니다
M07063.2	염려 마십시오⏎이 {V:01DA}의 이름을 걸고⏎{V:3DAC} 함락을 약속드리지요
M07064.0	맡겨 두게!⏎기꺼이 맡겠네
M07064.1	음, 알겠네!⏎즉시 출진 준비를 갖추겠네
M07064.2	안심하게⏎이 {V:01DA}의 이름을 걸고⏎{V:3DAC}, 반드시 함락시키지
M07065.0	{V:3DAC} 공략에 성공하면⏎우리 세력도 넓어지겠군요⏎그 이야기에 응하겠습니다
M07065.1	이것은 우리 군에도⏎득이 되는 이야기로군요……⏎수락하겠습니다
M07065.2	이번에는 맡도록 하지요⏎허나 다음은 귀공 차례입니다
