M07560.0	너희 대장은⏎포상을 독차지하고 있거든⏎몰랐니!?
M07560.1	너희 주군은⏎부역을 늘릴 생각밖에 없어⏎따르는 너희야말로 가엾구나!
M07560.2	너희 병량 창고에는⏎쌀이 다 떨어졌어!⏎내일부터 뭘 먹고 싸울 거니!?
M07560.3	너희들, 아직도 모르니!?⏎너희 마을은 큰불이 나서⏎모조리 타 버렸어!
M07561.0	너희 대장은⏎포상을 독차지하고 있다⏎모른단 말이냐!?
M07561.1	너희 주군은⏎부역을 늘릴 생각밖에 없다⏎따르는 너희야말로 가엾도다!
M07561.2	너희 병량 창고에는⏎쌀이 다 떨어졌다!⏎내일부터 뭘 먹고 싸울 테냐!?
M07561.3	너희들, 아직도 모르느냐!?⏎너희 마을은 큰불이 나서⏎모조리 타 버렸다!
M07563.0	헛소리 마라!⏎그따위 거짓말로 혼란에 빠질⏎우리 군이 아니다!
M07564.0	헛소리 마라!⏎그따위 거짓말로 혼란에 빠질⏎우리 군이 아니다!
M07563.1	귀담아듣지 마세요!⏎우리 부대를 혼란시키려는⏎새빨간 거짓말일 뿐이에요!
M07563.2	현혹되지 마세요!⏎이런 걸로 혼란시키려는 적의⏎얕은 꾀를 되레 비웃어 줘요!
M07564.1	귀담아듣지 마라!⏎우리 부대를 혼란시키려는⏎새빨간 거짓말일 뿐이다!
M07564.2	현혹되지 마라!⏎이런 걸로 혼란시키려는 적의⏎얕은 꾀를 되레 비웃어 줘라!
M07566.0	안 되겠네요……⏎어쩔 수 없죠⏎다른 방법을 생각해 봐요
M07566.1	으음……⏎아무래도 적을⏎너무 얕본 모양이네요……
M07566.2	꿈쩍도 하지 않네요……⏎역시 이 정도 계책은⏎통하지 않는군요
M07567.0	안 되겠군……⏎어쩔 수 없지⏎다른 방법을 생각해 보자
M07567.1	으음……⏎아무래도 적을⏎너무 얕본 모양이군……
M07567.2	꿈쩍도 하지 않는가……⏎역시 이 정도 계책은⏎통하지 않는군
M07568.0	뭐라고!?⏎방금 그게 사실이라면⏎싸우고 있을 때가 아니잖아!
M07568.1	어이, 다들 들었어?⏎아무래도 {V:03DA} 님이⏎사실을 숨기고 있는 것 같아
M07568.2	어이, 방금 그거 거짓말이지?⏎거짓말이라고 말해 줘, 제발!⏎……정말이야?
M07570.0	이, 이놈들……⏎터무니없는 헛소리를……!
M07570.1	이봐요, 뭐 하는 거예요!⏎방금 그건 거짓말일 뿐이에요⏎현혹되지 마세요!
M07570.2	당했네요……⏎이 정도 계책에⏎걸려들다니……!
M07571.0	이, 이놈들……⏎터무니없는 헛소리를⏎퍼뜨리다니……!
M07571.1	이봐라, 무얼 하느냐!⏎방금 그건 거짓말일 뿐이다⏎현혹되지 마라!
M07571.2	당했나……⏎이 정도 계책에⏎걸려들다니……!
M07573.0	아차……⏎{V:4761} 부대의 약점을⏎찔렸네요……
M07576.0	아차……⏎{V:4761} 부대의 약점을⏎찔렸네요……
M07573.1	으으으……⏎{V:4761} 부대의 허점이⏎드러나고 말았네요……
M07576.1	으으으……⏎{V:4761} 부대의 허점이⏎드러나고 말았네요……
M07573.2	당했네요……⏎{V:4761} 부대의 운용을⏎그르쳤는지도 몰라요……
M07576.2	당했네요……⏎{V:4761} 부대의 운용을⏎그르쳤는지도 몰라요……
M07574.0	아차……⏎{V:4761} 부대의 약점을⏎찔렸나……
M07577.0	아차……⏎{V:4761} 부대의 약점을⏎찔렸나……
M07574.1	으으으……⏎{V:4761} 부대의 허점이⏎드러나고 말았나……
M07577.1	으으으……⏎{V:4761} 부대의 허점이⏎드러나고 말았나……
M07574.2	당했나……⏎{V:4761} 부대의 운용을⏎그르쳤는지도 모르겠군……
M07577.2	당했나……⏎{V:4761} 부대의 운용을⏎그르쳤는지도 모르겠군……
M07579.0	이놈들……⏎터무니없는 헛소리를……!⏎당장 회복시켜 보이겠어요!
M07579.1	이 {V:01DA}, 내가 있으면서도⏎혼란을 막지 못하다니……⏎피해를 최소로 막아야 해요!
M07579.2	당했네요……⏎하지만 내 힘으로 피해를⏎최소한으로 줄여 보이겠어요!
M07580.0	이놈들……⏎터무니없는 헛소리를……!⏎당장 회복시켜 보이겠다!
M07580.1	이 {V:01DA}, 내가 있으면서도⏎혼란을 막지 못하다니……⏎피해를 최소로 막아야 한다!
M07580.2	당했나……⏎허나 내 힘으로 피해를⏎최소한으로 줄여 보이겠다!
M07582.0	너희 대장은⏎한낱 저돌적인 필부일 뿐이야⏎우리 상대가 안 돼!
M07582.1	너희 대장은⏎전진밖에 모르는 싸움꾼이야!⏎오늘도 무작정 덤벼 보렴!
M07582.2	적장 {V:02DA},⏎싸움은 좀 배워 왔니?⏎오늘도 만용만 부릴 거니!?
M07583.0	너희 대장은⏎오늘도 병사들만 싸우게 하네?⏎가끔은 전선에 서 보면 어때?
M07583.1	너희 대장은⏎물러날 생각밖에 없니?⏎오늘도 앞장서 도망칠 셈이지?
M07583.2	너희 대장은⏎병사를 장기짝 취급하나 봐⏎그런 대장을 위해 싸울 거니?
M07584.0	너희 대장은⏎한낱 저돌적인 필부일 뿐이다⏎우리 상대가 못 된다!
M07584.1	너희 대장은⏎전진밖에 모르는 싸움꾼이다!⏎오늘도 무작정 덤벼 보아라!
M07584.2	적장 {V:02DA},⏎싸움은 좀 배워 왔느냐?⏎오늘도 만용만 부릴 테냐!?
M07585.0	너희 대장은⏎오늘도 병사만 싸우게 하느냐?⏎가끔은 전선에 나서지 않느냐?
M07585.1	너희 대장은⏎물러날 생각밖에 없느냐?⏎오늘도 앞장서 도망칠 테지?
M07585.2	너희 대장은⏎병사를 장기짝 취급하나 보군⏎그런 대장을 위해 싸우느냐?
M07587.0	무슨 소리야!⏎나불나불 떠들기 전에⏎무기를 들고 싸우기나 해!
M07587.1	혀만은 잘도 놀리네⏎그 말, 나중에 잊었다고는⏎못 할 줄 알아!
M07587.2	약한 자일수록 잘 짖는 법이야⏎우리 부대와 싸우는 게⏎어지간히 무서운가 보네!
M07588.0	무얼 지껄이느냐!⏎나불나불 떠들기 전에⏎무기를 들고 싸우기나 해라!
M07588.1	혀 하나는 잘도 놀리는구나⏎그 말, 나중에 잊었다고는⏎못 할 줄 알아라!
M07588.2	약한 자일수록 잘 짖는 법이다⏎우리 부대와 싸우는 게⏎어지간히 무서운 게로구나!
M07590.0	으으으……⏎{V:02DA}대의 통솔력을⏎너무 얕봤네요……
M07590.1	으음……⏎적 병사들은 끄떡없군요⏎이 정도론 무너지지 않나……
M07590.2	병사들에게 동요는 없나……⏎{V:02DA}대의 결속은⏎제법 단단한 모양이네요
M07591.0	으으으……⏎{V:02DA}대의 통솔력을⏎너무 얕봤나……
M07591.1	으음……⏎적 병사들은 끄떡없군⏎이 정도론 무너지지 않나……
M07591.2	병사들에게 동요는 없나……⏎{V:02DA}대의 결속은⏎제법 단단한 모양이군
M07593.0	듣고 보니 그렇네⏎무작정 돌진만 해서는⏎개죽음이나 다름없잖아……
M07593.1	어째 적한테는⏎작전이 있는 모양이야⏎그냥 나가다간 큰코다칠……
