M08914.0	{V:01DA} 장군은⏎도적떼에게 도리어 당했습니다
M08914.1	{V:01DA} 장군은⏎도적떼의 습격을 받고⏎부리나케 달아났습니다
M08914.2	{V:01DA} 장군은⏎혼비백산하여⏎도적떼에게 쫓겨났습니다
M08914.3	도적떼의 공격으로⏎{V:01DA} 장군은 {V:3DA2}에서⏎쫓겨났습니다
M08915.0	도적 {V:65}명이 귀순하여⏎{V:3DA2}의 병사가 되었습니다
M08915.1	{V:3DA2}에⏎도적 {V:65}명이⏎병사로 편입되었습니다
M08915.2	{V:01DA} 장군은⏎귀순한 도적 {V:65}명을⏎{V:3DA2}의 병사로 삼았습니다
M08915.3	도적 {V:65}명이 {V:01DA}에게⏎{V:3DA2}의 병사로 귀순했습니다
M08916.0	{V:1FC9}에게 쏟아지는 환호는⏎언제까지나 그칠 줄 몰랐다
M08917.0	{V:1FC7}군에 대한⏎백성의 신뢰가 높아졌습니다
M08917.1	{V:1FC7}군을 향한⏎백성의 기대가 커졌습니다
M08917.2	{V:1FC7}군의 행동에⏎백성의 지지가 높아졌습니다
M08918.0	{V:1FC7}군에 대한⏎백성의 불신감이 커졌습니다
M08918.1	{V:1FC7}군을 향한⏎백성의 불만이 높아졌습니다
M08918.2	{V:1FC7}군의 행동에⏎백성이 불안을 느꼈습니다
M08919.0	{V:02DA} 장군은 {V:3DA2}에서⏎{V:01DA}의 집을 찾아갔다
M08919.1	{V:02DA} 장군은⏎{V:3DA2}에 사는 {V:01DA}의⏎집을 방문했다
M08920.0	돌아오셨군요……⏎오늘은 느긋하게⏎마음 편히 쉬세요
M08920.3	돌아오셨군요……⏎오늘은 느긋하게⏎마음 편히 쉬세요
M08920.1	어머, {C:25b}공근{C:32b} 님이⏎아니신가요?⏎정말 잘 와 주셨어요
M08920.2	어머, {C:25b}백부{C:32b} 님이⏎아니신가요?⏎정말 잘 와 주셨어요
M08920.4	{C:25b}맹덕{C:32b} 님,⏎오늘은 바쁜 정무도 잊으시고⏎마음 편히 쉬세요
M08920.5	{C:25b}봉선{C:32b} 님이 오실 날을⏎손꼽아 기다리고 있었어요⏎오늘은 밤까지 계실 거죠?
M08921.0	{V:02DA} 님이 아니십니까⏎정말 잘 오셨습니다
M08921.1	{V:02DA} 님,⏎먼 걸음 해 주셔서 황송합니다
M08921.2	오오, {V:02DA} 님⏎잘 와 주셨습니다
M08922.0	아이고, {V:02DA} 님,⏎누추한 곳을 찾아 주시다니요
M08922.1	{V:02DA} 님,⏎잘 오셨습니다
M08923.0	여어, {C:25b}{V:02DD}{C:32b},⏎오랜만일세⏎잘 지내고 있는가?
M08923.1	{C:25b}{V:02DD}{C:32b},⏎벼슬살이는 할 만한가?⏎후회하고 있지는 않은가?
M08924.0	{V:02DA}, {V:01DA} 두 사람은⏎시간 가는 줄 모르고 담소했다
M08924.1	{V:02DA}, {V:01DA} 두 사람은⏎해가 저물도록 담소를 즐겼다
M08924.2	{V:02DA}, {V:01DA} 두 사람의⏎이야기는 한밤중까지 이어졌다
M08925.0	집안은 제가 지키겠어요……⏎당신은 천하를 향해⏎나아가 주세요
M08925.3	집안은 제가 지키겠어요……⏎당신은 천하를 향해⏎나아가 주세요
M08925.1	그럼 {C:25b}공근{C:32b} 님,⏎{C:25b}소교{C:32b}에게도 안부⏎전해 주세요
M08925.2	그럼 {C:25b}백부{C:32b} 님,⏎언니에게도 안부⏎전해 주세요
M08925.4	벌써 이런 시간이네요……⏎더 붙잡아 둘 수는⏎없는 거겠지요?
M08925.5	{C:25b}봉선{C:32b} 님,⏎또 찾아와 주세요……⏎약속이에요
M08926.0	{V:02DA} 님,⏎오늘은 유익한 이야기를 나눠⏎진심으로 감사드립니다
M08926.1	{V:02DA} 님의 말씀은⏎하나같이 유익하군요
M08926.2	{V:02DA} 님,⏎오늘 즐거운 시간⏎정말 고마웠습니다
M08927.0	{V:02DA} 님,⏎오늘 유익한 이야기를 나눠⏎더없이 기쁩니다
M08927.1	{V:02DA} 님과 이야기하면⏎늘 화제가 끊이지 않는군요
M08928.0	좋구나, 좋아
M08928.1	옳지, 옳지
M08929.0	{V:1FC7}군과 {C:25b}수경{C:32b} 문하의⏎친목이 깊어졌습니다
M08930.0	오오, 그렇지!⏎답례로 좋은 것을 하나⏎알려 드리리다⏎{C:25b}계양{C:32b}의 남산으로 가 보시오⏎운이 좋으면⏎두 사내를 만날 수 있을 거요
M08931.0	변변찮은 답례지만⏎이것을 드리겠습니다
M08932.0	변변찮은 답례지만⏎제가 아는 병법을⏎가르쳐 드리지요
M08932.3	변변찮은 답례지만⏎제가 아는 병법을⏎가르쳐 드리지요
M08932.4	변변찮은 답례지만⏎제가 아는 병법을⏎가르쳐 드리지요
M08932.7	변변찮은 답례지만⏎제가 아는 병법을⏎가르쳐 드리지요
M08932.9	변변찮은 답례지만⏎제가 아는 병법을⏎가르쳐 드리지요
M08932.10	변변찮은 답례지만⏎제가 아는 병법을⏎가르쳐 드리지요
M08932.12	변변찮은 답례지만⏎제가 아는 병법을⏎가르쳐 드리지요
M08932.13	변변찮은 답례지만⏎제가 아는 병법을⏎가르쳐 드리지요
M08932.1	이것은 싸움터에 나설 수 없는⏎저를 대신할 물건이에요⏎부디 요긴하게 써 주세요
M08932.6	이것은 싸움터에 나설 수 없는⏎저를 대신할 물건이에요⏎부디 요긴하게 써 주세요
M08932.2	그리고…… 이건⏎제가 남편에게 배운 거예요⏎부디 받아 주세요
M08932.5	그리고…… 이건⏎제가 남편에게 배운 거예요⏎부디 받아 주세요
M08932.8	그럼 돌아가시는 길에⏎선물을 하나 드릴게요⏎자, 받아 주세요
M08932.11	저와 {C:25b}봉선{C:32b} 님을 잇는 끈이에요⏎부디 받아 주세요
M08933.0	{V:01DA} 장군이 찾아가 보니⏎{V:3DA2}에 {C:25b}화타{C:32b}가 묵고 있었다
M08933.1	{V:01DA} 장군은 {V:3DA2}에서⏎{C:25b}화타{C:32b}와 만났다
M08933.2	{V:3DA2}에 들른 {V:01DA}에게⏎길에서 {C:25b}화타{C:32b}가 말을 걸어왔다
M08934.0	아니, 이게 누구십니까⏎{V:02DA} 님 아니십니까
M08934.1	오오, {V:02DA} 님⏎이런 우연이 다 있군요
M08934.2	이런 곳에서⏎{V:02DA} 님을 뵙게 될 줄은⏎생각도 못 했습니다
M08935.0	{C:25b}화타{C:32b}와 {V:01DA}의 이야기는⏎시간 가는 줄 모르고 이어졌다
M08935.1	{V:01DA}, {C:25b}화타{C:32b} 두 사람은⏎한동안 이야기를 나누었다
M08935.2	{V:01DA} 장군은 {C:25b}화타{C:32b}와⏎서로의 근황을 주고받았다
M08936.0	그럼 저는 이만⏎여러분의 건강을 기원합니다
M08936.1	무장은 몸이 재산입니다⏎부디 {V:02DA} 님께서도⏎건강하시기를 바랍니다
M08936.2	떠도는 길 위에서도⏎여러분이 건강하시기를⏎빌겠습니다
M08937.0	{V:1FC7}군 무장 모두의⏎건강이 회복되었습니다
M08938.0	{V:01DA}의 발길이⏎{C:25b}계양{C:32b} 부근의 남산에 닿자⏎두 사내가 바둑을 두고 있었다
M08939.0	어라?⏎술이 다 떨어진 모양일세
M08940.0	고기도 떨어졌네⏎……흠, 이거 곤란하군
M08941.0	금 {V:65}어치 술과 고기로⏎둘에게 뇌물을 쓰시겠습니까?⏎　실행무장: {V:01DA}⏎　군단금: {V:66}
M08942.0	오오! 이거 고맙구먼!⏎부디 자네 이름을⏎알려 주지 않겠나?
M08943.0	{V:02DA} 말이군⏎좋아! 술과 고기의 답례로⏎자네의 수명을 늘려 주겠네
M08944.0	……요령이 없구먼
M08945.0	{C:25b}남두{C:32b}와 {C:25b}북두{C:32b}는 바람을 타고⏎하늘로 사라졌습니다
M08946.0	{V:01DA} 장군이 {V:3DA2}에 가 보니⏎{V:02DA}의 설교에 백성이 운집했다
M08947.0	저는 제 가르침을 설파하여⏎전란에 지친 사람들을⏎구하고 있습니다⏎천하를 생각하신다면⏎{V:02DA} 님도 제 방식을⏎인정하셔야 하지 않겠습니까?
M08947.1	저는 제 의술로⏎전란에 상처 입은 사람들을⏎치료하고 있습니다⏎{V:02DA} 님도⏎백성을 위해 힘써 보시는 게⏎어떻겠습니까?
M08947.2	무슨 일인가?⏎백성에게 선도의 훌륭함을⏎가르치고 있다네⏎자네는 방해가 되니⏎어디 가 있어 주지 않겠나?
