M09135.0	그런가… 아쉽구려
M09135.1	아쉽습니다…⏎그럼, 기회가 있을 때⏎부탁드리겠습니다
M09135.3	아쉽습니다…⏎그럼, 기회가 있을 때⏎부탁드리겠습니다
M09135.2	그래요…⏎그럼 이번에는 단념하기로⏎하지요
M09136.0	현재 데이터를 저장하지 않고⏎초기 메뉴로⏎돌아가시겠습니까?
M09137.0	새 데이터를 {V:65}번에⏎덮어쓰시겠습니까?
M09138.0	{V:65}번에⏎저장하시겠습니까?
M09139.0	현재 데이터를 저장하지 않고⏎다른 데이터를⏎로드하시겠습니까?
M09140.0	타이틀 화면으로 돌아가기
M09141.0	{V:01DA}군을 컴퓨터에 맡기기
M09142.0	모든 세력을 컴퓨터에 맡기기
M09143.0	현재 데이터를 저장하지 않고⏎타이틀 화면으로⏎돌아가시겠습니까?
M09144.0	타이틀 화면으로⏎돌아가시겠습니까?
M09424.0	타이틀 화면으로⏎돌아가시겠습니까?
M09145.0	현재 데이터를 저장하지 않고⏎{V:01DA}군을 컴퓨터에⏎맡기시겠습니까?
M09146.0	{V:01DA}군을 컴퓨터에⏎맡기시겠습니까?
M09147.0	현재 데이터를 저장하지 않고⏎모든 세력을 컴퓨터에⏎맡기시겠습니까?
M09148.0	모든 세력을 컴퓨터에⏎맡기시겠습니까?
M09149.0	실행무장을 선택하십시오
M09513.0	등록무장 파일이 100명분 이상 있습니다⏎모두 표시하려면 등록무장 파일을⏎삭제해서 100명분 이하로 줄이십시오
M09544.0	타이틀 화면으로 돌아가는⏎조작이 접수되었습니다
M09545.0	세력을 선택하는⏎조작이 접수되었습니다
M09697.0	부모로 설정된 무장을⏎삭제하시겠습니까?
M09698.0	상성에 설정된 무장을⏎삭제하시겠습니까?
M09712.0	이 「게임쇼 버전」에서는⏎튜토리얼과 챌린지 시나리오만⏎플레이할 수 있습니다⏎처음 플레이하시는 분은⏎튜토리얼부터 플레이하시기를⏎추천합니다
M09897.0	트라이얼 스토리에⏎무의 장(여포편)과⏎효의 장(마초편)이⏎추가되었습니다
M10809.0	동쪽 바다 저편에⏎{C:25b}왜{C:32b}가 나타났습니다
M10810.0	{V:1FC9}의 「봉선 의식」이⏎거행되었습니다
M10811.0	{V:D5}년 {V:D7}월,⏎{C:25b}유비{C:32b}가 {C:25b}한중{C:32b}{C:25b}왕{C:32b}에 즉위했습니다
M10812.0	{V:1FC9} 님,⏎후한의 전 {C:25b}황제{C:32b} {C:25b}유협{C:32b}을 찾았습니다⏎어떻게 하시겠습니까?
