M12347.0	겁먹지 마라!⏎원군을 데려왔어요!
M12347.1	힘을 내요!⏎원군이 왔어요!
M12347.2	원군을 데려왔어요!⏎싸움은 지금부터예요!
M12348.0	모두들, 안심하고 싸워요⏎원군을 데려왔어요!
M12348.1	원군을 데려왔어요!⏎모두들, 승부는 지금부터예요!
M12348.2	힘을 내요!⏎구원하러 왔어요!
M12349.0	좋아, 원군 병사들을⏎{V:02DA}대에 합류시킵시다
M12349.1	{V:02DA}대는 이 원군으로⏎한 번 더 분발해 줘야겠네요
M12349.2	여기까지 왔으면 충분하네요⏎원군 병사를 참전시킵시다
M12350.0	휴, 어떻게든 원군을⏎데려올 수 있었네요
M12350.1	{V:02DA}대는 건재하군요……⏎원군으로 온 보람이 있었어요
M12350.2	휴우, 아무래도⏎제때 도착한 것 같네요
M12351.0	겁먹지 마라!⏎원군을 데려왔다!
M12351.1	힘을 내라!⏎원군이 왔다!
M12351.2	원군을 데려왔다!⏎싸움은 지금부터다!
M12352.0	모두들, 안심하고 싸워라⏎원군을 데려왔다!
M12352.1	원군을 데려왔다!⏎모두들, 승부는 지금부터다!
M12352.2	힘을 내라!⏎구원하러 왔다!
M12353.0	좋아, 원군 병사들을⏎{V:02DA}대에 합류시키자
M12353.1	{V:02DA}대는 이 원군으로⏎한 번 더 분발해 줘야겠군
M12353.2	여기까지 왔으면 충분하다⏎원군 병사를 참전시키자
M12354.0	휴, 어떻게든 원군을⏎데려올 수 있었군
M12354.1	{V:02DA}대는 건재하군……⏎원군으로 온 보람이 있었다
M12354.2	휴우, 아무래도⏎제때 도착한 것 같군
M12355.0	아군이 왔다~!⏎이제 다시 싸울 수 있어!
M12355.1	과연 {V:02DA} 님!⏎원군만 오면 겁날 게 없지
M12355.2	아군이 이만큼 늘었으면⏎아직 싸울 수 있고말고!
M12356.0	뭔가 듣던 것보다⏎적은 거 아냐?
M12356.1	어라라?⏎원군이 별로 많지 않은데
M12356.2	들었던 얘기보다⏎수가 적지 않나?
M12356.3	원군이라는 게⏎고작 이것뿐이야?
M12358.0	잠입 성공이에요!⏎자, 불을 질러라!
M12358.1	적은 없는 것 같네요!⏎좋아, 시작하라!
M12358.2	지금이에요!⏎몽땅 불태워 버려라!
M12359.0	자, 적에게 들키기 전에⏎불을 질러요!
M12359.1	{V:3DAB}에 들어왔네요⏎자, 불화살 준비!
M12359.2	아무도 눈치채지 못했네요⏎자, 불을 붙여라!
M12360.0	이 바람이라면 안성맞춤이군요⏎즉시 불을 지릅시다
M12360.1	무사히 바람 위쪽을 잡았네요⏎이제 불만 지르면 됩니다
M12360.2	무사히 잠입했네요⏎계획대로 불을 붙입시다
M12361.0	잠입은 성공한 것 같네요⏎그럼 바로……
M12361.1	생각보다 경계가 허술하네요⏎잘됐어요
M12361.2	적에게 들키지는 않았겠죠?⏎바로 시작합시다
M12362.0	잠입 성공이다!⏎자, 불을 질러라!
M12362.1	적은 없군!⏎좋아, 시작하라!
M12362.2	지금이다!⏎몽땅 불태워 버려라!
M12363.0	자, 적에게 들키기 전에⏎불을 질러라!
M12363.1	{V:3DAB}에 들어왔다⏎자, 불화살 준비!
M12363.2	아무도 눈치채지 못했군⏎자, 불을 붙여라!
M12364.0	이 바람이라면 안성맞춤이군⏎즉시 불을 지르도록 하자
M12364.1	무사히 바람 위쪽을 잡았군⏎이제 불만 지르면 된다
M12364.2	무사히 잠입했다⏎예정대로 불을 붙이도록 하자
M12365.0	잠입은 성공한 것 같군⏎그럼 바로……
M12365.1	생각보다 경계가 허술하군⏎잘됐다
M12365.2	적에게 들키지는 않았겠지?⏎바로 시작하도록 하자
M12367.0	방화하러 온 도적놈들!⏎놓치지 않을 거야!
M12367.1	왔구나, {V:1FC7}군!⏎쳐부숴 주겠어!
M12367.2	잘 왔어!⏎환영해 줄게!
M12368.0	그렇게는 안 되지⏎자, 모두 붙잡아 버려라!
M12368.1	너희들, {V:1FC7}군이구나⏎쳐부숴 주겠어!
M12368.2	내가 눈치 못 챌 줄 알았어?⏎자, 하나도 남김없이 잡아라!
M12369.0	제가 모를 줄 알았나요?⏎자, 붙잡으세요
M12369.1	제가 있는 한 {V:3DAC}에는⏎손가락 하나 못 댈 거예요
M12369.2	여기까지 불을 지르러 오다니⏎분수를 모르는 도적이군요
M12370.0	충분히 경계하고 있어요⏎마음대로는 못 할 거예요
M12370.1	제 눈을 속이려 하다니⏎대담무쌍한 도적이군요
M12370.2	저를 얕본 대가를⏎치르게 해 드리죠
M12371.0	방화하러 온 도적놈들!⏎놓치지 않겠다!
M12371.1	왔구나, {V:1FC7}군!⏎쳐부숴 주마!
M12371.2	잘 왔다!⏎환영해 주마!
M12372.0	그렇게는 안 된다⏎자, 모두 붙잡아 버려라!
M12372.1	너희들, {V:1FC7}군이로구나⏎쳐부숴 주마!
M12372.2	눈치 못 챌 줄 알았느냐⏎자, 하나도 남김없이 잡아라!
M12373.0	내가 모를 줄 알았느냐?⏎자, 일망타진해 버려라
M12373.1	내가 있는 한 {V:3DAC}에는⏎손가락 하나 못 대게 하겠다
M12373.2	여기까지 불을 지르러 오다니⏎분수 모르는 도적놈들 같으니
M12374.0	충분히 경계하고 있다⏎마음대로는 못 할 거다
M12374.1	내 눈을 속이려 하다니⏎대담무쌍한 도적이군
M12374.2	나를 얕본 대가를⏎치르게 해 주마
M12376.0	오호호호!⏎{V:1543}, 내가 가져가겠어!
M12376.1	이 {V:1543},⏎이 {V:01DA}의 차지야!
M12376.2	마침 잘됐네!⏎{V:1543}, 손에 넣었어!
M12377.0	저건 {V:1543}인가 보네요⏎예상 밖의 전리품이에요
M12377.1	이건 바로 {V:1543}!⏎좋아, 가져가겠어요!
M12377.2	이건 {V:1543}인걸요⏎사양 않고 가져가겠어요!
M12378.0	적에게 자비는 필요 없죠⏎{V:1543}, 가져가겠어요
M12378.1	저건 {V:1543}인걸요⏎이 또한 하늘의 인도로군요
M12378.2	{V:1543}, 이런 데서 나오다니⏎감사히 받아 가지요
M12379.0	아무도 안 보는군요⏎{V:1543}, 이 틈에……
M12379.1	저건 {V:1543}……⏎지금이면 빼앗을 수 있겠네요
M12379.2	방심은 금물이라는 말,⏎뼈저리게 깨달으시겠네요
M12380.0	하하하!⏎{V:1543}, 내가 가져가겠다!
M12380.1	이 {V:1543},⏎이 {V:01DA}의 차지다!
M12380.2	마침 잘됐다!⏎{V:1543}, 챙겨 가겠다!
M12381.0	저건 {V:1543}인가⏎예상 밖의 전리품이군
M12381.1	이건 바로 {V:1543}!⏎좋아, 가져가겠다!
M12381.2	이거 {V:1543} 아닌가!⏎사양 않고 가져가겠다!
M12382.0	적에게 자비는 필요 없다⏎{V:1543}, 가져가겠다
M12382.1	저건 {V:1543} 아닌가⏎이 또한 하늘의 인도겠지
M12382.2	{V:1543}, 이런 데서 나오다니⏎감사히 받아 가도록 하자
M12383.0	아무도 안 보는군⏎{V:1543}, 이 틈에……
M12383.1	저건 {V:1543}……⏎지금이면 빼앗을 수 있겠군
M12383.2	방심은 금물이라는 말,⏎뼈저리게 깨닫게 될 거다
M12385.0	저게 감옥이군요!⏎포로를 구해 내라!
M12385.1	감시는 허술하다!⏎포로를 풀어 줘라!
M12389.1	감시는 허술하다!⏎포로를 풀어 줘라!
M12385.2	지금이에요!⏎포로를 해방하라!
M12386.0	이건 감옥 열쇠예요!⏎예상 밖의 전과네요
M12386.1	포로가 있는 곳은 저기군요⏎구출해야겠어요!
M12386.2	저건 포로 감옥이에요⏎좋아, 지금 이 틈에!
