M12533.0	왔구나, {V:02DA}대⏎자, 각오해라
M12533.1	일부러 깔려 죽으러 오다니⏎수고가 많구나
M12533.2	생각 없이 골짜기로 오니⏎이런 꼴을 당하는 거다
M12534.0	슬슬 {V:4761} 병법을⏎쓸 때가 됐겠지
M12534.1	바위를 떨어뜨리려면⏎지금이겠지
M12534.2	이쯤에서 {V:4761} 병법을⏎펼쳐 볼까
M12536.0	이따위 {V:4761}에⏎걸려들 줄 알고!
M12540.0	이따위 {V:4761}에⏎걸려들 줄 알고!
M12559.0	이따위 {V:4761}에⏎걸려들 줄 알고!
M12563.0	이따위 {V:4761}에⏎걸려들 줄 알고!
M12584.0	이따위 {V:4761}에⏎걸려들 줄 알고!
M12588.0	이따위 {V:4761}에⏎걸려들 줄 알고!
M12609.0	이따위 {V:4761}에⏎걸려들 줄 알고!
M12613.0	이따위 {V:4761}에⏎걸려들 줄 알고!
M12536.1	이런 곳에서⏎깔려 죽을까 보냐!
M12540.1	이런 곳에서⏎깔려 죽을까 보냐!
M12536.2	피해라, 피해라!⏎바위를 피해요!
M12537.0	역시 덫을 놓아 뒀군요⏎전속력으로 빠져나가라!
M12537.1	진군 중지!⏎바위가 지나가길 기다려요
M12537.2	허둥대지 마라!⏎이 정도면 피할 수 있어요
M12538.0	침착하게 진군을 멈추세요⏎바위가 지나가게 두세요
M12538.1	빠르기는 바람처럼⏎전속력으로 빠져나가세요
M12538.2	역시 덫을 놓아 뒀군요⏎깔려 죽을 수는 없지요
M12539.0	휴, 큰일 날 뻔했어요……⏎바위가 빗나가서 살았어요
M12539.1	알아채는 게 늦었다면⏎위험할 뻔했네요……
M12539.2	멈추는 게 늦었다면⏎깔리고 말았을 거예요……
M12540.2	피해라, 피해라!⏎바위를 피하는 거다!
M12541.0	역시 덫을 놓아 뒀군⏎전속력으로 빠져나가라!
M12541.1	진군 중지!⏎바위가 지나가길 기다려라
M12541.2	허둥대지 마라!⏎이 정도면 피할 수 있다
M12542.0	침착하게 진군을 멈춰라⏎바위가 지나가게 두어라
M12542.1	빠르기는 바람처럼⏎전속력으로 빠져나가라
M12542.2	역시 덫을 놓아 뒀나⏎깔려 죽을까 보냐
M12543.0	휴, 큰일 날 뻔했다……⏎바위가 빗나가서 살았다
M12543.1	알아채는 게 늦었다면⏎위험할 뻔했다……
M12543.2	멈추는 게 늦었다면⏎깔리고 말았을 거다……
M12545.0	부상자 구출을 우선하세요⏎한 명이라도 더 구하세요
M12620.0	부상자 구출을 우선하세요⏎한 명이라도 더 구하세요
M12545.1	잠시 진군을 멈추세요⏎아직 숨 쉬는 병사를 구하세요
M12545.2	지금이면 많이 구할 수 있어요⏎침착하게 구출에 전념하세요
M12594.2	지금이면 많이 구할 수 있어요⏎침착하게 구출에 전념하세요
M12620.2	지금이면 많이 구할 수 있어요⏎침착하게 구출에 전념하세요
M12546.0	으으으……⏎피해는 줄였지만……
M12570.0	으으으……⏎피해는 줄였지만……
M12546.1	조, 조금만 더 빨리⏎알아챘더라면……
M12548.1	조, 조금만 더 빨리⏎알아챘더라면……
M12570.1	조, 조금만 더 빨리⏎알아챘더라면……
M12573.1	조, 조금만 더 빨리⏎알아챘더라면……
M12546.2	좀 더 주의했더라면⏎완전히 피할 수 있었는데……
M12570.2	좀 더 주의했더라면⏎완전히 피할 수 있었는데……
M12547.0	부상자 구출을 우선하라⏎한 명이라도 더 구하라
M12624.0	부상자 구출을 우선하라⏎한 명이라도 더 구하라
M12547.1	잠시 진군을 멈추게 하자⏎아직 숨 쉬는 병사를 구하라
M12547.2	지금이면 많이 구할 수 있다⏎차분히 구출에 전념하게 하자
M12597.2	지금이면 많이 구할 수 있다⏎차분히 구출에 전념하게 하자
M12624.2	지금이면 많이 구할 수 있다⏎차분히 구출에 전념하게 하자
M12548.0	으윽……⏎피해는 줄였다만……
M12573.0	으윽……⏎피해는 줄였다만……
M12548.2	좀 더 주의했더라면⏎완전히 피했을 것을……
M12550.0	지금이에요!⏎적선을 가라앉혀라!
M12550.1	걸려들었네!⏎물살에 쓸어 버리겠어!
M12550.2	물을 배 터지게⏎먹여 주겠어!
M12551.0	적선을 {V:4761} 쪽으로 몰아⏎가라앉혀라!
M12555.0	적선을 {V:4761} 쪽으로 몰아⏎가라앉혀라!
M12551.1	좋아, 배 밑에 구멍을 내서⏎가라앉혀라!
M12555.1	좋아, 배 밑에 구멍을 내서⏎가라앉혀라!
M12551.2	자, 배와 함께 탁류에⏎휩쓸려 버려라!
M12555.2	자, 배와 함께 탁류에⏎휩쓸려 버려라!
M12552.1	후후, 여기는 그리 쉽게⏎지나가게 둘 수 없지요
M12552.2	예정대로 {V:4761} 준비를⏎탁류로 적을 쓸어 버리세요
M12553.0	{V:4761} 병법을 펼치려면⏎이 근처겠지요……
M12553.1	이대로 몰아넣으면⏎{V:4761}에 걸리겠군요
M12553.2	아무래도 {V:4761}에 대해⏎눈치채지 못한 모양이네요……
M12554.0	지금이다!⏎적선을 가라앉혀라!
M12554.1	걸려들었구나!⏎떠내려가 버려라!
M12554.2	물을 배 터지게⏎먹여 주마!
M12556.0	왔구나, {V:02DA}대⏎자, 각오하는 게 좋을 거다
M12556.1	훗, 여기는 그리 쉽게⏎지나가게 둘 수 없지
M12556.2	예정대로 {V:4761} 준비를⏎탁류로 적을 쓸어 버려라
M12557.0	{V:4761} 병법을 펼치려면⏎이 근처겠지……
M12557.1	이대로 몰아넣으면⏎{V:4761}에 걸릴 거다
M12557.2	아무래도 {V:4761}에 대해⏎눈치채지 못한 모양이군……
M12559.1	이런 곳에서⏎빠져 죽기는 싫어요!
M12559.2	피해라, 피해라!⏎{V:4761}에 걸리지 말고 가라!
M12563.2	피해라, 피해라!⏎{V:4761}에 걸리지 말고 가라!
M12560.0	이 정도라면, 물살만 읽으면⏎충분히 빠져나갈 수 있어요!
M12560.1	선회하면 피할 수 있다⏎힘껏 노를 저어라!
M12564.1	선회하면 피할 수 있다⏎힘껏 노를 저어라!
