M12756.0	어떻게든⏎버텨 내야 해요……
M12756.1	이대로는……
M12760.1	이대로는……
M12756.2	적의 보급은⏎아직 버틸 수 있을까요……
M12757.2	이대로 당하고만⏎있을 줄 아느냐!
M12758.0	응전하라!⏎조금만 더 버텨라
M12758.1	겁먹지 마라!⏎적도 지쳐 있다
M12758.2	적도 꽤 버티는군⏎우리도 질 수는 없지
M12759.0	당황하지 마라⏎대비는 되어 있다
M12759.1	움직이지 않음은 산과 같이⏎침착하게 대처하라
M12759.2	함부로 응전하지 마라⏎신호를 따르라
M12760.0	어떻게든⏎버텨 내야 한다……
M12760.2	적의 보급은⏎아직 버틸 수 있을까……
M12762.0	고작 이 정도예요!?⏎맞설 만한 자는 없나요!
M12762.1	에잇, 비켜요!⏎잔챙이는 방해예요!
M12762.2	방해하면⏎용서하지 않겠어요!
M12763.0	적장을 찾아내라!
M12766.0	적장을 찾아내라!
M12763.1	앞길을 막는 자는⏎베어 버리겠어요!
M12763.2	목숨이 아까운 자는⏎내게 다가오지 마라!
M12764.0	비켜, 비켜라!⏎{V:01DA} 님 행차시다!
M12764.1	잔챙이는 거치적거린다고⏎말했잖아!
M12764.2	당장 길을 비켜!⏎그렇게 죽고 싶냐!
M12765.0	고작 이 정도냐!?⏎맞설 만한 놈은 없느냐!
M12765.1	비켜라, 비켜!⏎잔챙이는 물러나 있어라!
M12765.2	방해하면⏎용서치 않겠다!
M12766.1	앞길을 막는 자는⏎베어 버릴 뿐이다!
M12766.2	목숨이 아까운 자는⏎다가오지 마라!
M12768.0	베고, 또 베고,⏎모조리 베어 버리겠어요!
M12768.1	에잇, 줄줄이 몰려와서⏎끝이 없네요!
M12768.2	에잇, 귀찮다!⏎몽땅 상대해 줄 테니 덤벼라!
M12772.2	에잇, 귀찮다!⏎몽땅 상대해 줄 테니 덤벼라!
M12769.0	이렇게 된 이상 각오하고⏎싸울 수밖에 없겠네요
M12769.1	여기가 버텨야 할 고비예요⏎지지 마라!
M12769.2	당황하지 말고⏎적의 연계를 무너뜨려라!
M12773.2	당황하지 말고⏎적의 연계를 무너뜨려라!
M12770.0	우선 정면의 적부터⏎상대하세요
M12770.1	여기선 참아야 합니다⏎수비를 굳히세요
M12770.2	침착하세요⏎적의 연계를 무너뜨리세요
M12771.0	이, 이대로는⏎소모전이잖아요……
M12771.1	이 상황은 곤란해요⏎어떻게든 해야 하는데……
M12771.2	이, 이대로는⏎손해가 늘어날 뿐이에요……
M12772.0	베고, 또 베고,⏎모조리 베어 주마!
M12772.1	에잇, 줄줄이 몰려와서⏎끝이 없구나!
M12773.0	이렇게 된 이상 각오하고⏎싸울 수밖에 없겠군
M12773.1	여기가 버텨야 할 고비다⏎지지 마라!
M12774.0	우선 정면의 적부터 상대하라
M12774.1	수비를 굳혀라⏎무너지지 마라
M12774.2	당황 말고 적의 연계를 끊어라
M12775.0	이, 이대로는⏎소모전이 아닌가……
M12775.1	이 상황은 곤란하다⏎어떻게든 해야 하는데……
M12775.2	이, 이대로는⏎손해가 늘어날 뿐이다……
M12777.0	이대로 짓뭉개 주겠어요!
M12777.1	이 손으로 숨통을⏎끊어 주겠어요!
M12777.2	방해하는 놈은⏎저세상으로 보내 주겠어요!
M12778.0	좋아, 이대로 적을⏎압도하는 거예요!
M12778.2	적진을 무너뜨려요⏎전군, 나를 따르라!
M12779.0	다른 부대와 연계하세요
M12779.1	아군이 유리합니다⏎침착하게 싸우세요
M12779.2	적의 배후를 치세요
M12780.0	다른 부대와 움직임을⏎맞추는 거예요
M12780.1	약점을 찌르면⏎이길 수 있겠지요……
M12780.2	하늘은 {V:02DA}대를⏎버린 모양이네요……
M12781.0	이대로⏎짓뭉개 주마!
M12781.1	이 손으로 숨통을⏎끊어 주마!
M12781.2	방해하는 놈은⏎저세상으로 보내 주마!
M12782.0	좋아, 이대로 적을⏎압도한다!
M12782.2	적진을 무너뜨린다⏎전군, 나를 따르라!
M12783.0	함부로 앞서 나가지 마라⏎다른 부대와 연계하라
M12783.1	아군이 유리하다⏎침착하게 싸워라
M12783.2	정면으로 부딪치지 마라⏎적의 배후를 쳐라
M12784.0	다른 부대와 움직임을⏎맞추는 거다
M12784.1	약점을 찌르면⏎이길 수 있겠지……
M12784.2	하늘은 {V:02DA}대를⏎버린 모양이군……
M12786.0	밀어라, 밀어라, 밀어붙여라!
M12790.0	밀어라, 밀어라, 밀어붙여라!
M12786.1	호호호호호!⏎이 승부, 내가 이겼어요!
M12786.2	가라, 가라!⏎갈기갈기 찢어 버려라!
M12790.2	가라, 가라!⏎갈기갈기 찢어 버려라!
M12787.0	이 승부, 우리가 이겼어요⏎전군, 공세로 전환하라!
M12787.1	모두들,⏎뒤처지지 마라!
M12791.1	모두들,⏎뒤처지지 마라!
M12787.2	이 기회를 놓쳐선 안 돼요!⏎일제히 밀고 나가라!
M12788.0	쉬지 말고 계속 공격하세요⏎적을 압도하는 겁니다
M12788.1	수적 우세로 밀면 이깁니다⏎이대로 적을 흩어 버리세요
M12788.2	우세는 변함없습니다⏎침착하게 싸우세요
M12789.0	{V:02DA}대에게는⏎이길 수 있을 것 같네요……
