M00000.0	황건적의 난과 도원결의
M00001.0	삼국지의 서장 「황건적의 난」.⏎유비, 관우, 장비가 같은 날⏎죽기로 맹세한 「도원결의」에서⏎게임이 시작된다. 고를 수 있는⏎세력은 난을 일으킨 장각군과⏎이를 진압하는 하진군. 장각군은⏎인재가 부족하나 장각 형제의⏎병법이 강력하고 병력도⏎하진군을 능가한다. 맞서는⏎하진군은 하진의 능력이 낮고⏎병력도 적다. 유비 삼형제, 조조,⏎손견 같은 인재를 잘 활용해야⏎한다.
M00002.0	조조의 거병과 반동탁 연합
M00003.0	조정을 쥐고 흔드는 동탁을⏎치려고 각지의 제후가 일어선⏎「반동탁 연합」. 이때부터 조조,⏎유비, 손견, 원소 등이 세력으로⏎등장하는 군웅할거가 시작된다.⏎동탁은 최강의 여포를 거느리고⏎병력도 압도적이다. 게다가 앞을⏎막는 것은 난공불락의 요충지⏎호뢰관이다. 연합 세력은⏎일대일로는 동탁군의 상대가⏎되지 못한다. 세력이 몰린⏎북쪽보다 빈 도시가 많은 남쪽이⏎난이도가 낮다고 할 수 있다.
M00004.0	여포의 연주 강탈과 소패왕
M00005.0	동탁을 죽인 여포가 조조의⏎연주를 빼앗아 자립한 상황.⏎조조는 청주의 황건적을 흡수한⏎직후라 병력도 무장도 충실하다.⏎유비는 조조에게 공격받은⏎도겸을 구원해 소패에 들어가⏎있다. 동탁이 불태운 낙양과⏎조조가 침공한 서주는 황폐하다.⏎북쪽에서는 원소와 공손찬이⏎대립. 남쪽에서는 유표를 치던⏎손견이 전사하고, 뒤를 이은⏎손책이 의형제 주유와 함께 강동⏎제패에 나선다.
M00006.0	관도대전과 중원의 패자
M00007.0	조조와 원소가 화북의 패권을⏎다투는 「관도대전」 직전.⏎헌제를 옹립한 조조는 여포,⏎원술을 쓰러뜨리고 도읍 허창 등⏎비옥한 중원을 지배. 사방이⏎적이지만 인재는 걸출하다.⏎원소는 공손찬을 꺾고 하북을⏎장악. 병력은 조조보다 많고⏎안량, 문추라는 쌍벽도 건재하다.⏎유비는 조조를 떠나 서주에서⏎독립. 강동을 제패해⏎「소패왕」이라 불리는 손책도⏎조조의 배후를 노린다.
M00008.0	삼고초려와 적벽대전
M00009.0	오의 명장 주유가 조조의 야망을⏎꺾은 「적벽대전」의 전해.⏎조조가 관도에서 원소를 격파해⏎원씨는 멸망했고, 원상 형제는⏎공손강에게 몸을 의탁했다.⏎유비는 유표에게 의지해 신야에⏎건재. 서서를 군사로 맞아⏎조조의 남하를 여러 번 막았다.⏎대현자 제갈량과는 아직 만나지⏎못했다. 강동은 손책이 급사해⏎손권이 뒤를 이었다. 주유, 정보⏎등 손책 때부터의 신하에 노숙,⏎여몽 같은 인재가 모여 있다.
M00010.0	주유의 죽음과 마초의 복수
