# k	성(원문)	이름(원문)	자(원문)	성	이름	자
0	阿会	喃		아회	남	
1	韋	昭	弘嗣	위	소	홍사
2	伊	籍	機伯	이	적	기백
3	尹	賞		윤	상	
4	尹	大目		윤	대목	
5	尹	黙	思潜	윤	묵	사잠
6	于	禁	文則	우	금	문칙
7	于	詮		우	전	
8	衛	{U:F07D}	伯玉	위	관	백옥
9	袁	遺	伯業	원	유	백업
10	袁	胤		원	윤	
11	閻	宇	文平	염	우	문평
12	袁	煕	顕奕	원	희	현혁
13	閻	柔		염	유	
14	袁	術	公路	원	술	공로
15	袁	尚	顕甫	원	상	현보
16	袁	紹	本初	원	소	본초
17	閻	象		염	상	
18	袁	譚	顕思	원	담	현사
19	閻	圃		염	포	
20	袁	燿		원	요	
21	王	威		왕	위	
22	王	允	子師	왕	윤	자사
23	王	含		왕	함	
24	王	基	伯輿	왕	기	백여
25	王	{U:F081}	孔碩	왕	기	공석
26	王	匡	公節	왕	광	공절
27	王	業		왕	업	
28	王	経	彦緯	왕	경	언위
29	王	伉		왕	항	
30	王	渾	玄沖	왕	혼	현충
31	王	粲	仲宣	왕	찬	중선
32	王	修	叔治	왕	수	숙치
33	王	戎	濬沖	왕	융	준충
34	王	粛	子雍	왕	숙	자옹
35	王	濬	士治	왕	준	사치
36	王	祥	休徴	왕	상	휴징
37	王	沈	処道	왕	침	처도
38	王	双	子全	왕	쌍	자전
39	王	忠		왕	충	
40	王	昶	文舒	왕	창	문서
41	王	韜		왕	도	
42	王	惇		왕	돈	
43	王	買		왕	매	
44	王	平	子均	왕	평	자균
45	王	甫	国山	왕	보	국산
46	王	門		왕	문	
47	王	{U:F0A4}	彦雲	왕	릉	언운
48	王	累		왕	루	
49	王	朗	景興	왕	랑	경흥
50	何	晏	平叔	하	안	평숙
51	{U:F044}	越	異度	괴	월	이도
52	{U:F044}	良	子柔	괴	량	자유
53	賈	華		가	화	
54	華	覈	永先	화	핵	영선
55	賈	逵	梁道	가	규	양도
56	何	儀		하	의	
57	華	{U:F055}	子魚	화	흠	자어
58	賈	{U:F049}	文和	가	후	문화
59	郭	奕	伯益	곽	혁	백익
60	郭	嘉	奉孝	곽	가	봉효
61	鄂	煥		악	환	
62	郭	{U:F048}		곽	사	
63	楽	就		악	취	
64	霍	峻	仲{U:F04E}	곽	준	중막
65	{U:F05A}	昭	伯道	학	소	백도
66	楽	進	文謙	악	진	문겸
67	楽	{U:F072}		악	침	
68	郭	図	公則	곽	도	공칙
69	郭	馬		곽	마	
70	郭	攸之	演長	곽	유지	연장
71	霍	弋	紹先	곽	익	소선
72	郭	淮	伯済	곽	회	백제
73	夏侯	威	季権	하후	위	계권
74	夏侯	淵	妙才	하후	연	묘재
75	夏侯	恩		하후	은	
76	夏侯	和	義権	하후	화	의권
77	夏侯	咸		하후	함	
78	夏侯	恵	稚権	하후	혜	치권
79	夏侯	玄	太初	하후	현	태초
80	夏侯	尚	伯仁	하후	상	백인
81	夏侯	徳		하후	덕	
82	夏侯	惇	元譲	하후	돈	원양
83	夏侯	覇	仲権	하후	패	중권
84	夏侯	楙	子林	하후	무	자림
85	賈	充	公閭	가	충	공려
86	何	植		하	식	
87	何	進	遂高	하	진	수고
88	賀	斉	公苗	하	제	공묘
89	何	曾	潁考	하	증	영고
